variant,key,activity_key,users,n
beta_A,plant_seed,True,5,1664.0
beta_B,chop_tree,True,5,1242.0
beta_A,harvest_crop,True,5,1185.0
beta_A,water_crop,True,5,1059.0
beta_A,chop_tree,True,5,972.0
beta_A,npc_talk,True,5,783.0
beta_A,mine_ore,True,5,655.0
beta_A,firefly_swing_empty,True,5,380.0
beta_A,forage_pick,True,5,319.0
beta_A,firefly_swing,True,5,315.0
beta_A,quest_offered,True,5,295.0
beta_A,quest_accept,True,5,252.0
beta_A,dex_discover,True,5,245.0
beta_A,quest_complete,True,5,245.0
beta_A,fishing_cast,True,5,240.0
beta_A,shop_sell,True,5,239.0
beta_A,fishing_catch,True,5,224.0
beta_B,dex_discover,True,5,218.0
beta_A,zone_enter,True,5,202.0
beta_A,firefly_catch,True,5,160.0
beta_A,mist_soothe,True,5,89.0
beta_A,cooking_result,True,5,77.0
beta_A,cooking_start,True,5,77.0
beta_A,museum_exhibit_view,True,5,73.0
beta_A,craft_item,True,5,67.0
beta_A,color_unlock,True,5,59.0
beta_A,lucky_box,True,5,59.0
beta_A,enter_farm,True,5,48.0
beta_A,enter_house,True,5,48.0
beta_A,exit_farm,True,5,47.0
beta_A,kitchen_open,True,5,46.0
beta_A,badge_earn,True,5,43.0
beta_A,cafe_serve,True,5,43.0
beta_A,exit_house,True,5,43.0
beta_A,boat_pickup,True,5,34.0
beta_A,enter_mine,True,5,34.0
beta_A,exit_mine,True,5,34.0
beta_B,weather_day,True,5,34.0
beta_A,daily_bonus,True,5,28.0
beta_A,mist_lantern,True,5,28.0
beta_A,place_decor,True,5,27.0
beta_B,first_chop,True,5,27.0
beta_A,map_locked,True,5,26.0
beta_A,mist_wave,True,5,25.0
beta_A,weather_day,True,5,25.0
beta_B,daily_bonus,True,5,25.0
beta_A,enter_cafe,True,5,23.0
beta_A,exit_cafe,True,5,23.0
beta_A,first_chop,True,5,23.0
beta_A,story_chapter_start,True,5,20.0
beta_A,story_chapter_complete,True,5,19.0
beta_B,story_chapter_start,True,5,19.0
beta_A,night_trace,True,5,18.0
beta_A,owl_special_deliver,True,5,17.0
beta_A,boat_enter,True,5,15.0
beta_A,boat_exit,True,5,14.0
beta_A,boat_hit,True,5,13.0
beta_A,coop_feed,True,5,13.0
beta_A,notice_open,True,5,12.0
beta_A,cook_eat,True,5,11.0
beta_A,mist_enter,True,5,11.0
beta_A,mist_exit,True,5,11.0
beta_A,boat_end,True,5,10.0
beta_A,boat_start,True,5,10.0
beta_A,cafe_guests_generated,True,5,10.0
beta_A,map_opened,True,5,10.0
beta_A,mist_end,True,5,10.0
beta_A,mist_purify_start,True,5,10.0
beta_A,museum_enter,True,5,10.0
beta_A,museum_exit,True,5,10.0
beta_A,night_visit,True,5,8.0
beta_B,nickname_set,True,5,8.0
beta_A,boat_shop_open,True,5,7.0
beta_B,character_select,True,5,7.0
beta_B,intro_start,True,5,7.0
beta_A,mist_choice,True,5,6.0
beta_A,mist_choice_shown,True,5,6.0
beta_A,nickname_set,True,5,6.0
beta_B,intro_complete,True,5,6.0
beta_A,character_select,True,5,5.0
beta_A,coop_build,True,5,5.0
beta_A,house_complete,True,5,5.0
beta_A,intro_start,True,5,5.0
beta_A,tutorial_start,True,5,5.0
beta_B,plant_seed,True,4,1352.0
beta_B,water_crop,True,4,1242.0
beta_B,harvest_crop,True,4,874.0
beta_B,mine_ore,True,4,862.0
beta_B,forage_pick,True,4,716.0
beta_B,npc_talk,True,4,552.0
beta_B,fishing_cast,True,4,382.0
beta_B,zone_enter,True,4,378.0
beta_B,fishing_catch,True,4,343.0
beta_B,quest_offered,True,4,203.0
beta_B,quest_accept,True,4,168.0
beta_B,quest_complete,True,4,163.0
beta_B,cooking_result,True,4,81.0
beta_B,cooking_start,True,4,81.0
beta_A,mist_soothe_miss,True,4,73.0
beta_B,color_unlock,True,4,53.0
beta_B,cafe_serve,True,4,51.0
beta_B,lucky_box,True,4,42.0
beta_B,enter_mine,True,4,38.0
beta_B,exit_mine,True,4,37.0
beta_B,badge_earn,True,4,32.0
beta_A,move_decor,True,4,27.0
beta_A,pick_decor,True,4,27.0
beta_A,gift_give,True,4,26.0
beta_A,leaderboard_open,True,4,24.0
beta_B,enter_cafe,True,4,23.0
beta_B,exit_cafe,True,4,23.0
beta_A,notice_page,True,4,19.0
beta_B,story_chapter_complete,True,4,16.0
beta_A,house_expand,True,4,12.0
beta_B,cafe_complete,True,4,12.0
beta_B,coop_feed,True,4,12.0
beta_B,map_opened,True,4,11.0
beta_B,carve_result,True,4,10.0
beta_B,carve_start,True,4,10.0
beta_B,notice_open,True,4,7.0
beta_B,house_complete,True,4,5.0
beta_A,tutorial_skip,True,4,4.0
beta_B,coop_build,True,4,4.0
beta_B,tutorial_start,True,4,4.0
