at,session_id,client_id,variant,arm,trigger,p,intervene,model_version,origin,user_id,started_at,session_updated_at,play_sec,sec_after_event,survived_60s,intervene_bool
2026-09-09 01:47:08.740667+00:00,sess-ag8397hn6rdmttfu1a5,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,control,time15,0.43384523825089916,False,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 01:46:52.543000+00:00,2026-09-09 02:00:55.449000+00:00,843,826,1,False
2026-09-09 02:22:30.636741+00:00,sess-5s7ckx5c5hwmtth3iqw,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,treat,time15,0.41459230509662187,False,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:22:14.697000+00:00,2026-09-09 02:22:54.539000+00:00,40,23,0,False
2026-09-09 02:24:53.050723+00:00,sess-nsbzaxgdu98mtth6roh,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,control,quest,0.11452560653258079,False,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:24:46.244000+00:00,2026-09-09 02:29:06.175000+00:00,260,253,1,False
2026-09-09 02:24:54.472817+00:00,sess-nsbzaxgdu98mtth6roh,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,control,quest,0.15469296539080465,True,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:24:46.244000+00:00,2026-09-09 02:29:06.175000+00:00,260,251,1,True
2026-09-09 02:24:55.954926+00:00,sess-nsbzaxgdu98mtth6roh,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,control,quest,0.17079344306083966,True,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:24:46.244000+00:00,2026-09-09 02:29:06.175000+00:00,260,250,1,True
2026-09-09 02:24:56.653517+00:00,sess-nsbzaxgdu98mtth6roh,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,control,quest,0.1700474929743109,True,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:24:46.244000+00:00,2026-09-09 02:29:06.175000+00:00,260,249,1,True
2026-09-09 02:24:58.605063+00:00,sess-nsbzaxgdu98mtth6roh,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,control,quest,0.1510046330507053,True,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:24:46.244000+00:00,2026-09-09 02:29:06.175000+00:00,260,247,1,True
2026-09-09 02:24:59.378146+00:00,sess-nsbzaxgdu98mtth6roh,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,control,quest,0.158508595072966,True,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:24:46.244000+00:00,2026-09-09 02:29:06.175000+00:00,260,246,1,True
2026-09-09 02:25:01.005239+00:00,sess-nsbzaxgdu98mtth6roh,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,control,time15,0.4483174799042497,True,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:24:46.244000+00:00,2026-09-09 02:29:06.175000+00:00,260,245,1,True
2026-09-09 02:26:30.490709+00:00,sess-nsbzaxgdu98mtth6roh,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,control,quest,0.05852906323040341,False,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:24:46.244000+00:00,2026-09-09 02:29:06.175000+00:00,260,155,1,False
