session_id,arm,variant,user_id,first_at,last_session_updated_at,event_count,any_intervene,survived_60s,p_max
sess-0lhyiv889ivmtvksiyj,treat,beta_A,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,2026-09-10 13:41:29.080261+00:00,2026-09-10 14:06:32.910000+00:00,60,True,1,0.2776706326137994
sess-0rfw4gzz4obqmtx0ox9k,control,beta_B,867ef5fa-448b-44e3-9b48-a2738234b6f7,2026-09-11 13:54:21.732489+00:00,2026-09-11 16:29:05.569000+00:00,24,True,1,0.39208258280056674
sess-0vlu7ivilivmtxwj3ym,control,beta_A,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,2026-09-12 04:45:35.391157+00:00,2026-09-12 05:04:53.930000+00:00,41,True,1,0.4669048034798719
sess-20cyhkcnpzbmu0jqxni,treat,beta_A,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-14 01:10:56.075005+00:00,2026-09-14 01:22:54.321000+00:00,56,False,1,0.34940287003843945
sess-2chdv6l0mx5mtyfc4uv,treat,beta_A,fabd3109-d3f3-463e-b718-f1eb9a7bdeee,2026-09-12 13:33:57.154200+00:00,2026-09-12 13:36:17.569000+00:00,6,True,1,0.15556969941753745
sess-2eubv8qrhbomtthayk9,treat,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 02:28:18.338705+00:00,2026-09-09 02:29:02.464000+00:00,1,True,0,0.46813461184670885
sess-39sil903x0lmtu75t0u,treat,beta_A,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,2026-09-09 14:32:07.564004+00:00,2026-09-09 14:37:43.238000+00:00,1,False,1,0.2896553361316945
sess-447nbr16t45mtu7cq27,treat,beta_A,dba0c17e-cf7b-4fbc-be57-0f88d08029da,2026-09-09 14:37:30.036802+00:00,2026-09-09 14:40:12.811000+00:00,1,False,1,0.19371041431897387
sess-5lpx09qbm2pmtu6w6jw,treat,beta_A,dba0c17e-cf7b-4fbc-be57-0f88d08029da,2026-09-09 14:24:38.963575+00:00,2026-09-09 14:35:23.465000+00:00,69,True,1,0.33664503332752704
sess-5ofux9wn1e7mtv9t51x,treat,beta_B,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,2026-09-10 08:34:05.002674+00:00,2026-09-11 01:16:31.531000+00:00,1,True,1,0.46972986025253133
sess-5r1a873ocdsmtv3ezlz,treat,beta_B,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,2026-09-10 05:35:04.813139+00:00,2026-09-10 05:43:07.339000+00:00,32,True,1,0.29162472660571287
sess-5s7ckx5c5hwmtth3iqw,treat,beta_A,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:22:30.636741+00:00,2026-09-09 02:22:54.539000+00:00,1,False,0,0.41459230509662187
sess-6lzd1u7orvbmu1c8bli,control,beta_A,fabd3109-d3f3-463e-b718-f1eb9a7bdeee,2026-09-14 14:28:29.257724+00:00,2026-09-14 14:43:51.747000+00:00,69,True,1,0.36628908001693994
sess-7bxlja6766mttul1md,control,beta_B,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,2026-09-09 08:39:57.005277+00:00,2026-09-09 08:57:34.582000+00:00,45,True,1,0.45821591791716004
sess-8lrh1ym40mqmtzvuynm,treat,beta_A,dba0c17e-cf7b-4fbc-be57-0f88d08029da,2026-09-13 14:02:32.669862+00:00,2026-09-13 15:11:13.436000+00:00,49,True,1,0.4546188868773679
sess-92hphjqifc9mtv3xu3r,treat,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-10 05:49:40.235639+00:00,2026-09-10 05:57:44.997000+00:00,17,True,1,0.4699760616286567
sess-9kojyyofbnamttkpzbc,treat,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:03:59.012362+00:00,2026-09-09 04:05:23.785000+00:00,1,True,1,0.4652074118290114
sess-9m7usvba4zlmtw7vyi4,treat,beta_B,62b2b0ac-deaf-4e16-81c9-4983aee910c9,2026-09-11 00:28:01.835613+00:00,2026-09-11 00:42:45.431000+00:00,6,True,1,0.5061234936223982
sess-9uvx9dkt33qmu0jpbtp,control,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-14 01:10:29.613920+00:00,2026-09-14 01:26:15.660000+00:00,45,True,1,0.10485997132602036
sess-9v21isfx9r4mtv7ry1i,control,beta_B,2dc25242-eecf-4132-af7e-d5911c7a7d64,2026-09-10 07:37:12.785585+00:00,2026-09-10 08:56:55.717000+00:00,1,False,1,0.28897723171451023
sess-9wlruev4mzkmtx1owjo,control,beta_A,fabd3109-d3f3-463e-b718-f1eb9a7bdeee,2026-09-11 14:21:54.052365+00:00,2026-09-11 14:30:20.188000+00:00,8,True,1,0.4680947790716234
sess-9zltjrae6pnmtv4cywv,control,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-10 06:05:52.901205+00:00,2026-09-10 06:34:14.931000+00:00,12,True,1,0.18129502566475475
sess-ag8397hn6rdmttfu1a5,control,beta_A,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 01:47:08.740667+00:00,2026-09-09 02:00:55.449000+00:00,1,False,1,0.43384523825089916
sess-bnfe8ru10scmttlb7h4,control,beta_B,867ef5fa-448b-44e3-9b48-a2738234b6f7,2026-09-09 04:20:29.333476+00:00,2026-09-09 04:27:03.705000+00:00,16,True,1,0.6270610309345584
sess-bs1gsjq3hh9mtvkr175,control,beta_A,dba0c17e-cf7b-4fbc-be57-0f88d08029da,2026-09-10 13:40:25.433509+00:00,2026-09-10 13:56:04.402000+00:00,35,True,1,0.18172374588145215
sess-c7jcq00k0h6mtyhzedm,control,beta_B,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,2026-09-12 14:46:12.574203+00:00,2026-09-12 15:01:32.284000+00:00,2,True,1,0.4141438619970058
sess-ckrzr6lyqmjmttomcbf,control,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 05:53:06.132329+00:00,2026-09-09 06:07:33.317000+00:00,1,True,1,0.48589548391853904
sess-d1naxd6kn1smtyhsx22,treat,beta_B,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,2026-09-12 14:41:15.378453+00:00,2026-09-12 15:03:06.501000+00:00,18,True,1,0.160994206024694
sess-ddatwn814zgmtutdpo6,control,beta_A,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-10 00:55:47.670324+00:00,2026-09-10 01:38:28.489000+00:00,84,True,1,0.24329641248130382
sess-hipisloi7pgmtu1egsf,treat,beta_A,fabd3109-d3f3-463e-b718-f1eb9a7bdeee,2026-09-09 11:50:27.222880+00:00,2026-09-09 12:37:32.552000+00:00,14,True,1,0.4850255177821891
sess-hl0mn2jtlmhmtzw87k8,control,beta_A,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-13 14:12:45.099492+00:00,2026-09-13 14:12:56.812000+00:00,1,False,0,0.4123744819149464
sess-i14tcd55mfsmttktaei,treat,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:32.016242+00:00,2026-09-09 04:42:45.613000+00:00,94,True,1,0.36304131493684283
sess-i9z1ag7jkvmtvk2kqf,treat,beta_A,fabd3109-d3f3-463e-b718-f1eb9a7bdeee,2026-09-10 13:20:47.839209+00:00,2026-09-10 13:46:20.512000+00:00,94,True,1,0.46515572039093867
sess-ioj1cbtdtlimttkpska,treat,beta_A,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 04:03:49.100035+00:00,2026-09-09 04:04:04.324000+00:00,1,False,0,0.37401863733658364
sess-iybf2qs49imtzrc1vj,treat,beta_A,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,2026-09-13 11:55:44.361422+00:00,2026-09-13 12:01:57.552000+00:00,3,True,1,0.47797317118242777
sess-jpcnul537wpmttm882n,control,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:46:03.910820+00:00,2026-09-09 04:46:08.086000+00:00,1,True,0,0.15585640843107298
sess-k2dxlqlb5nmtvikw4b,treat,beta_A,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,2026-09-10 12:39:33.788973+00:00,2026-09-10 12:44:18.727000+00:00,49,True,1,0.4275664801266258
sess-lmgvs9odznrmttw57sx,treat,beta_A,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,2026-09-09 09:23:44.396410+00:00,2026-09-09 09:26:01.641000+00:00,2,True,1,0.47528693336406214
sess-ls4vewwlhtmu12uimg,treat,beta_B,867ef5fa-448b-44e3-9b48-a2738234b6f7,2026-09-14 10:05:41.774731+00:00,2026-09-14 10:14:11.229000+00:00,17,False,1,0.3125865177971555
sess-lvooq0ym14mu1cqrfg,control,beta_B,62b2b0ac-deaf-4e16-81c9-4983aee910c9,2026-09-14 14:42:47.931700+00:00,2026-09-14 14:50:16.765000+00:00,19,False,1,0.3652415291735559
sess-mgwcv9w92c9mtu6hugb,treat,beta_A,dba0c17e-cf7b-4fbc-be57-0f88d08029da,2026-09-09 14:18:32.810688+00:00,2026-09-09 14:24:14.417000+00:00,20,True,1,0.19013594219022242
sess-n12wnk732mu14vt9k,control,beta_B,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,2026-09-14 11:02:49.961135+00:00,2026-09-14 11:03:16.894000+00:00,1,False,0,0.33148871607929875
sess-n6f0x6fmh4rmttoksdg,control,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 05:51:54.764602+00:00,2026-09-09 05:52:00.481000+00:00,1,False,0,0.21506839347104223
