variant,order_index,step,users,rate
beta_A,1,move,5,1.0
beta_A,2,toolpage,5,1.0
beta_A,3,chop,5,1.0
beta_A,4,fish,5,1.0
beta_A,5,build,5,1.0
beta_A,6,enter,5,1.0
beta_A,7,decor,2,0.4
beta_A,8,till,2,0.4
beta_A,9,seed,2,0.4
beta_A,10,water,1,0.2
beta_A,11,harvest,1,0.2
beta_A,12,sell,1,0.2
beta_A,13,market,1,0.2
beta_A,14,quest,1,0.2
beta_A,15,mine,1,0.2
beta_A,16,carve,1,0.2
beta_A,17,dex,1,0.2
beta_B,1,move,3,0.6
beta_B,2,toolpage,3,0.6
beta_B,3,chop,3,0.6
beta_B,4,till,2,0.4
beta_B,5,seed,2,0.4
beta_B,6,water,2,0.4
beta_B,7,harvest,2,0.4
beta_B,8,sell,2,0.4
beta_B,9,market,2,0.4
beta_B,10,quest,2,0.4
beta_B,11,mine,2,0.4
beta_B,12,carve,2,0.4
beta_B,13,dex,2,0.4
beta_B,14,fish,2,0.4
beta_B,15,build,2,0.4
beta_B,16,enter,2,0.4
beta_B,17,decor,2,0.4
