tester,variant,key,n
T01,beta_A,tut_dex,1.0
T01,beta_A,tut_chop,1.0
T01,beta_A,tut_fish,1.0
T01,beta_A,tut_mine,1.0
T01,beta_A,tut_move,1.0
T01,beta_A,tut_seed,1.0
T01,beta_A,tut_sell,1.0
T01,beta_A,tut_till,1.0
T01,beta_A,tut_build,1.0
T01,beta_A,tut_carve,1.0
T01,beta_A,tut_decor,1.0
T01,beta_A,tut_enter,1.0
T01,beta_A,tut_quest,1.0
T01,beta_A,tut_water,1.0
T01,beta_A,tut_market,1.0
T01,beta_A,tut_harvest,1.0
T01,beta_A,tut_toolpage,1.0
T01,beta_A,tutorial_step,17.0
T01,beta_A,tutorial_start,1.0
T01,beta_A,tutorial_complete,1.0
T02,beta_A,tut_chop,1.0
T02,beta_A,tut_fish,1.0
T02,beta_A,tut_move,1.0
T02,beta_A,tut_build,1.0
T02,beta_A,tut_enter,1.0
T02,beta_A,tut_toolpage,1.0
T02,beta_A,tutorial_skip,1.0
T02,beta_A,tutorial_step,6.0
T02,beta_A,tutorial_start,1.0
T03,beta_A,tut_chop,1.0
T03,beta_A,tut_fish,1.0
T03,beta_A,tut_move,1.0
T03,beta_A,tut_build,1.0
T03,beta_A,tut_enter,1.0
T03,beta_A,tut_toolpage,1.0
T03,beta_A,tutorial_skip,1.0
T03,beta_A,tutorial_step,6.0
T03,beta_A,tutorial_start,1.0
T04,beta_A,tut_chop,1.0
T04,beta_A,tut_fish,1.0
T04,beta_A,tut_move,1.0
T04,beta_A,tut_build,1.0
T04,beta_A,tut_enter,1.0
T04,beta_A,tut_toolpage,1.0
T04,beta_A,tutorial_skip,1.0
T04,beta_A,tutorial_step,6.0
T04,beta_A,tutorial_start,1.0
T05,beta_A,tut_chop,1.0
T05,beta_A,tut_fish,1.0
T05,beta_A,tut_move,1.0
T05,beta_A,tut_seed,1.0
T05,beta_A,tut_till,1.0
T05,beta_A,tut_build,1.0
T05,beta_A,tut_decor,1.0
T05,beta_A,tut_enter,1.0
T05,beta_A,tut_toolpage,1.0
T05,beta_A,tutorial_skip,1.0
T05,beta_A,tutorial_step,9.0
T05,beta_A,tutorial_start,1.0
T06,beta_B,tut_dex,1.0
T06,beta_B,tut_chop,1.0
T06,beta_B,tut_fish,1.0
T06,beta_B,tut_mine,1.0
T06,beta_B,tut_move,1.0
T06,beta_B,tut_seed,1.0
T06,beta_B,tut_sell,1.0
T06,beta_B,tut_till,1.0
T06,beta_B,tut_build,1.0
T06,beta_B,tut_carve,1.0
T06,beta_B,tut_decor,1.0
T06,beta_B,tut_enter,1.0
T06,beta_B,tut_quest,1.0
T06,beta_B,tut_water,1.0
T06,beta_B,tut_market,1.0
T06,beta_B,tut_harvest,1.0
T06,beta_B,tut_toolpage,1.0
T06,beta_B,tutorial_step,17.0
T06,beta_B,tutorial_start,1.0
T06,beta_B,tutorial_complete,1.0
T07,beta_B,tutorial_skip,1.0
T07,beta_B,tut_dex,1.0
T07,beta_B,tut_chop,1.0
T07,beta_B,tut_fish,1.0
T07,beta_B,tut_mine,1.0
T07,beta_B,tut_move,1.0
T07,beta_B,tut_seed,1.0
T07,beta_B,tut_sell,1.0
T07,beta_B,tut_till,1.0
T07,beta_B,tut_build,1.0
T07,beta_B,tut_carve,1.0
T07,beta_B,tut_decor,1.0
T07,beta_B,tut_enter,1.0
T07,beta_B,tut_quest,1.0
T07,beta_B,tut_water,1.0
T07,beta_B,tut_market,1.0
T07,beta_B,tut_harvest,1.0
T07,beta_B,tut_toolpage,1.0
T07,beta_B,tutorial_step,17.0
T07,beta_B,tutorial_start,1.0
T07,beta_B,tutorial_complete,1.0
T08,beta_B,tutorial_skip,2.0
T08,beta_B,tutorial_start,1.0
T09,beta_B,tut_chop,1.0
T09,beta_B,tut_move,1.0
T09,beta_B,tut_toolpage,1.0
T09,beta_B,tutorial_step,3.0
T09,beta_B,tutorial_start,1.0
