tester,variant,grp,map_order,tx,inflow,outflow_abs,net,boost_source_inflow,boost_item_inflow,shop_sell_inflow,quest_reward_inflow,daily_bonus_inflow,lucky_box_inflow,buy_outflow_abs,days_with_econ
T01,beta_A,A,mist_first,173,3556.0,3150.0,406.0,1583.0,864.0,335.0,1047.0,122.0,79.0,2970.0,7
T02,beta_A,A,mist_first,119,3275.0,1330.0,1945.0,2225.0,1387.0,1035.0,1015.0,87.0,88.0,1330.0,6
T03,beta_A,A,sea_first,69,1389.0,240.0,1149.0,883.0,764.0,48.0,694.0,35.0,106.0,60.0,5
T04,beta_A,A,sea_first,261,5782.0,1290.0,4492.0,4787.0,3622.0,3254.0,1226.0,120.0,187.0,1290.0,7
T05,beta_A,A,sea_first,120,5098.0,1630.0,3468.0,3984.0,818.0,2840.0,1053.0,30.0,61.0,1630.0,4
T06,beta_B,B,sea_first,631,15312.0,6445.0,8867.0,13077.0,0.0,11902.0,1009.0,45.0,121.0,2745.0,6
T07,beta_B,B,mist_first,157,3800.0,545.0,3255.0,2070.0,0.0,1071.0,779.0,51.0,169.0,165.0,7
T08,beta_B,B,sea_first,188,2208.0,1937.0,271.0,1521.0,0.0,776.0,651.0,51.0,43.0,1757.0,6
T09,beta_B,B,mist_first,2,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,1
T10,beta_B,B,mist_first,36,1112.0,60.0,1052.0,193.0,0.0,0.0,150.0,26.0,17.0,60.0,4
