variant_roster,source,tx,users,inflow,outflow,net
beta_A,shop_sell,250,5,7512.0,0.0,7512
beta_A,quest_reward,247,5,5035.0,0.0,5035
beta_A,cafe_serve,43,5,2113.0,0.0,2113
beta_A,badge,43,5,1860.0,0.0,1860
beta_A,story,19,5,920.0,0.0,920
beta_A,lucky_box,37,5,521.0,0.0,521
beta_A,cafe_bonus,7,3,420.0,0.0,420
beta_A,daily_bonus,29,5,394.0,0.0,394
beta_A,carve_reward,7,3,231.0,0.0,231
beta_A,sea_catch,14,3,94.0,0.0,94
beta_A,boat_upgrade,5,1,0.0,740.0,-740
beta_A,coop_build,5,5,0.0,300.0,-300
beta_A,farm_building,4,1,0.0,390.0,-390
beta_A,farm_expand,1,1,0.0,150.0,-150
beta_A,house_addon,6,2,0.0,360.0,-360
beta_A,house_expand,12,4,0.0,5040.0,-5040
beta_A,shop_buy,10,1,0.0,300.0,-300
beta_A,worker_hire,3,1,0.0,360.0,-360
beta_B,shop_sell,604,3,13749.0,0.0,13749
beta_B,quest_reward,162,4,2589.0,0.0,2589
beta_B,cafe_serve,51,4,2428.0,0.0,2428
beta_B,badge,32,4,1310.0,0.0,1310
beta_B,cafe_bonus,12,4,720.0,0.0,720
beta_B,story,16,4,710.0,0.0,710
beta_B,lucky_box,24,4,350.0,0.0,350
beta_B,carve_reward,9,4,347.0,0.0,347
beta_B,daily_bonus,24,5,183.0,0.0,183
beta_B,sea_catch,11,3,56.0,0.0,56
beta_B,boat_upgrade,3,1,0.0,300.0,-300
beta_B,coop_build,4,4,0.0,240.0,-240
beta_B,farm_building,9,1,0.0,650.0,-650
beta_B,farm_expand,2,1,0.0,600.0,-600
beta_B,house_addon,19,3,0.0,4260.0,-4260
beta_B,house_expand,6,3,0.0,1280.0,-1280
beta_B,shop_buy,22,2,0.0,1252.0,-1252
beta_B,worker_hire,3,1,0.0,360.0,-360
beta_B,worker_wage,1,1,0.0,45.0,-45
