tester,variant,grp,map_order,game,success,fail,attempts,success_rate,hit_per_run,runs,ends
T01,beta_A,A,mist_first,fishing,38.0,0.0,38.0,1.0,,,
T01,beta_A,A,mist_first,sea,10.0,5.0,15.0,0.6666666666666666,,,
T01,beta_A,A,mist_first,mist,36.0,13.0,49.0,0.7346938775510204,,,
T01,beta_A,A,mist_first,boat_hit_per_run,,3.0,3.0,,1.0,3.0,3.0
T02,beta_A,A,mist_first,fishing,36.0,1.0,37.0,0.972972972972973,,,
T02,beta_A,A,mist_first,sea,0.0,0.0,0.0,,,,
T02,beta_A,A,mist_first,mist,11.0,12.0,23.0,0.4782608695652174,,,
T02,beta_A,A,mist_first,boat_hit_per_run,,5.0,2.0,,2.5,2.0,2.0
T03,beta_A,A,sea_first,fishing,36.0,2.0,38.0,0.9473684210526315,,,
T03,beta_A,A,sea_first,sea,1.0,4.0,5.0,0.2,,,
T03,beta_A,A,sea_first,mist,18.0,8.0,26.0,0.6923076923076923,,,
T03,beta_A,A,sea_first,boat_hit_per_run,,1.0,1.0,,1.0,1.0,1.0
T04,beta_A,A,sea_first,fishing,69.0,2.0,71.0,0.971830985915493,,,
T04,beta_A,A,sea_first,sea,0.0,0.0,0.0,,,,
T04,beta_A,A,sea_first,mist,12.0,40.0,52.0,0.23076923076923078,,,
T04,beta_A,A,sea_first,boat_hit_per_run,,2.0,2.0,,1.0,2.0,2.0
T05,beta_A,A,sea_first,fishing,45.0,0.0,45.0,1.0,,,
T05,beta_A,A,sea_first,sea,3.0,2.0,5.0,0.6,,,
T05,beta_A,A,sea_first,mist,12.0,0.0,12.0,1.0,,,
T05,beta_A,A,sea_first,boat_hit_per_run,,2.0,2.0,,1.0,2.0,2.0
T06,beta_B,B,sea_first,fishing,200.0,6.0,206.0,0.970873786407767,,,
T06,beta_B,B,sea_first,sea,4.0,2.0,6.0,0.6666666666666666,,,
T06,beta_B,B,sea_first,mist,23.0,3.0,26.0,0.8846153846153846,,,
T06,beta_B,B,sea_first,boat_hit_per_run,,13.0,17.0,,0.7647058823529411,17.0,17.0
T07,beta_B,B,mist_first,fishing,69.0,0.0,69.0,1.0,,,
T07,beta_B,B,mist_first,sea,5.0,6.0,11.0,0.45454545454545453,,,
T07,beta_B,B,mist_first,mist,43.0,43.0,86.0,0.5,,,
T07,beta_B,B,mist_first,boat_hit_per_run,,5.0,5.0,,1.0,5.0,5.0
T08,beta_B,B,sea_first,fishing,59.0,4.0,63.0,0.9365079365079365,,,
T08,beta_B,B,sea_first,sea,2.0,8.0,10.0,0.2,,,
T08,beta_B,B,sea_first,mist,0.0,0.0,0.0,,,,
T08,beta_B,B,sea_first,boat_hit_per_run,,0.0,0.0,,,0.0,0.0
T09,beta_B,B,mist_first,fishing,0.0,0.0,0.0,,,,
T09,beta_B,B,mist_first,sea,0.0,0.0,0.0,,,,
T09,beta_B,B,mist_first,mist,0.0,0.0,0.0,,,,
T09,beta_B,B,mist_first,boat_hit_per_run,,0.0,0.0,,,0.0,0.0
T10,beta_B,B,mist_first,fishing,15.0,0.0,15.0,1.0,,,
T10,beta_B,B,mist_first,sea,0.0,0.0,0.0,,,,
T10,beta_B,B,mist_first,mist,0.0,0.0,0.0,,,,
T10,beta_B,B,mist_first,boat_hit_per_run,,4.0,2.0,,2.0,2.0,2.0
