variant,day,active_users,diary_users,both_users,sessions,play_min
beta_A,1,4,5,4,15,145.58333333333334
beta_A,2,5,5,5,6,133.5
beta_A,3,4,2,2,4,70.06666666666666
beta_A,4,4,4,4,6,43.233333333333334
beta_A,5,3,4,2,4,72.21666666666667
beta_A,6,4,3,3,5,141.15
beta_A,7,5,3,3,8,228.03333333333333
beta_B,1,3,2,2,15,178.6
beta_B,2,5,4,4,9,375.51666666666665
beta_B,3,4,3,3,11,2645.6833333333334
beta_B,4,1,3,1,2,170.06666666666666
beta_B,5,3,3,3,5,103.11666666666666
beta_B,6,4,2,2,8,137.45
beta_B,7,3,2,2,8,71.8
