tester,variant,grp,map_order,active_days,diary_days,both_days,total_sessions,total_play_min,zero_active_days,zero_diary_days,active_complete_7,diary_complete_7,both_complete_7
T01,beta_A,A,mist_first,7,7,7,7,152.26666666666665,0,0,True,True,True
T02,beta_A,A,mist_first,6,5,4,12,153.58333333333334,1,2,False,False,False
T03,beta_A,A,sea_first,5,3,3,9,125.36666666666667,2,4,False,False,False
T04,beta_A,A,sea_first,7,7,7,15,159.15,0,0,True,True,True
T05,beta_A,A,sea_first,4,4,2,5,243.41666666666666,3,3,False,False,False
T06,beta_B,B,sea_first,6,6,6,25,1853.6666666666667,1,1,False,False,False
T07,beta_B,B,mist_first,6,4,3,16,1348.8166666666666,1,3,False,False,False
T08,beta_B,B,sea_first,6,6,6,11,245.81666666666666,1,1,False,False,False
T09,beta_B,B,mist_first,1,0,0,2,89.08333333333333,6,7,False,False,False
T10,beta_B,B,mist_first,4,3,2,4,144.85,3,4,False,False,False
