tester,variant,grp,map_order,user_id,day,sessions,play_min,diary_written,q3,active,diary,both
T01,beta_A,A,mist_first,fabd3109-d3f3-463e-b718-f1eb9a7bdeee,1,1,46.916666666666664,1,3.0,True,True,True
T01,beta_A,A,mist_first,fabd3109-d3f3-463e-b718-f1eb9a7bdeee,2,1,25.316666666666666,1,3.0,True,True,True
T01,beta_A,A,mist_first,fabd3109-d3f3-463e-b718-f1eb9a7bdeee,3,1,8.283333333333333,1,3.0,True,True,True
T01,beta_A,A,mist_first,fabd3109-d3f3-463e-b718-f1eb9a7bdeee,4,1,4.483333333333333,1,3.0,True,True,True
T01,beta_A,A,mist_first,fabd3109-d3f3-463e-b718-f1eb9a7bdeee,5,1,30.233333333333334,1,3.0,True,True,True
T01,beta_A,A,mist_first,fabd3109-d3f3-463e-b718-f1eb9a7bdeee,6,1,15.7,1,3.0,True,True,True
T01,beta_A,A,mist_first,fabd3109-d3f3-463e-b718-f1eb9a7bdeee,7,1,21.333333333333332,1,3.0,True,True,True
T02,beta_A,A,mist_first,dba0c17e-cf7b-4fbc-be57-0f88d08029da,1,4,25.183333333333334,1,3.0,True,True,True
T02,beta_A,A,mist_first,dba0c17e-cf7b-4fbc-be57-0f88d08029da,2,1,16.033333333333335,1,2.0,True,True,True
T02,beta_A,A,mist_first,dba0c17e-cf7b-4fbc-be57-0f88d08029da,3,1,9.583333333333334,0,,True,False,False
T02,beta_A,A,mist_first,dba0c17e-cf7b-4fbc-be57-0f88d08029da,4,2,6.1,1,3.0,True,True,True
T02,beta_A,A,mist_first,dba0c17e-cf7b-4fbc-be57-0f88d08029da,5,0,0.0,1,3.0,False,True,False
T02,beta_A,A,mist_first,dba0c17e-cf7b-4fbc-be57-0f88d08029da,6,1,69.11666666666666,0,,True,False,False
T02,beta_A,A,mist_first,dba0c17e-cf7b-4fbc-be57-0f88d08029da,7,3,27.566666666666666,1,2.0,True,True,True
T03,beta_A,A,sea_first,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,1,4,53.7,1,5.0,True,True,True
T03,beta_A,A,sea_first,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,2,2,30.366666666666667,1,4.0,True,True,True
T03,beta_A,A,sea_first,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,3,0,0.0,0,,False,False,False
T03,beta_A,A,sea_first,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,4,1,19.55,1,3.0,True,True,True
T03,beta_A,A,sea_first,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,5,1,6.533333333333333,0,,True,False,False
T03,beta_A,A,sea_first,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,6,0,0.0,0,,False,False,False
T03,beta_A,A,sea_first,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,7,1,15.216666666666667,0,,True,False,False
T04,beta_A,A,sea_first,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,1,6,19.783333333333335,1,3.0,True,True,True
T04,beta_A,A,sea_first,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2,1,44.61666666666667,1,3.0,True,True,True
T04,beta_A,A,sea_first,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,3,1,20.666666666666668,1,3.0,True,True,True
T04,beta_A,A,sea_first,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,4,2,13.1,1,3.0,True,True,True
T04,beta_A,A,sea_first,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,5,2,35.45,1,3.0,True,True,True
T04,beta_A,A,sea_first,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,6,2,17.25,1,2.0,True,True,True
T04,beta_A,A,sea_first,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,7,1,8.283333333333333,1,3.0,True,True,True
T05,beta_A,A,sea_first,e449a249-1fea-49e0-9cda-615810f132ca,1,0,0.0,1,2.0,False,True,False
T05,beta_A,A,sea_first,e449a249-1fea-49e0-9cda-615810f132ca,2,1,17.166666666666668,1,2.0,True,True,True
T05,beta_A,A,sea_first,e449a249-1fea-49e0-9cda-615810f132ca,3,1,31.533333333333335,0,,True,False,False
T05,beta_A,A,sea_first,e449a249-1fea-49e0-9cda-615810f132ca,4,0,0.0,0,,False,False,False
T05,beta_A,A,sea_first,e449a249-1fea-49e0-9cda-615810f132ca,5,0,0.0,1,3.0,False,True,False
T05,beta_A,A,sea_first,e449a249-1fea-49e0-9cda-615810f132ca,6,1,39.083333333333336,1,3.0,True,True,True
T05,beta_A,A,sea_first,e449a249-1fea-49e0-9cda-615810f132ca,7,2,155.63333333333333,0,,True,False,False
T06,beta_B,B,sea_first,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,1,12,137.5,1,1.0,True,True,True
T06,beta_B,B,sea_first,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2,3,94.83333333333333,1,3.0,True,True,True
T06,beta_B,B,sea_first,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,3,2,1523.8833333333334,1,2.0,True,True,True
T06,beta_B,B,sea_first,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,4,0,0.0,0,,False,False,False
T06,beta_B,B,sea_first,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,5,1,31.283333333333335,1,2.0,True,True,True
