day,ga4_events,ga4_devices,game_rows,game_devices,session_count,session_devices
2026-07-27,994,11,274,0,0,0
2026-07-28,583,4,10,0,0,0
2026-07-29,408,3,1106,0,0,0
2026-07-30,332,6,1957,4,0,0
2026-07-31,208,3,1304,2,0,0
2026-08-01,71,3,474,3,0,0
2026-08-03,360,12,4246,13,0,0
2026-08-04,1076,13,9679,9,0,0
2026-08-05,461,10,2447,9,0,0
2026-08-06,1056,7,4415,7,29,7
2026-08-07,40,2,109,2,1,1
2026-08-08,510,5,2003,5,17,5
2026-08-09,728,7,1999,7,33,7
2026-08-10,839,8,3674,6,6,6
2026-08-11,158,7,610,2,1,1
2026-08-12,2140,8,4554,8,57,8
2026-08-13,244,6,1028,4,8,4
2026-08-14,325,4,1762,5,18,5
2026-08-15,1292,47,5148,12,29,12
2026-08-16,708,23,1985,5,26,5
2026-08-17,343,13,279,5,18,5
2026-08-18,686,17,2170,7,35,7
2026-08-19,786,13,4188,4,7,3
2026-08-20,228,9,338,2,9,2
2026-08-21,33,5,15,1,1,1
2026-08-22,94,8,313,2,3,2
2026-08-23,1543,11,2114,6,20,6
2026-08-24,318,6,562,3,16,3
2026-08-25,589,11,3289,10,9,7
2026-08-26,183,8,1033,4,5,4
2026-08-27,600,4,2392,3,27,3
2026-08-28,556,5,1391,6,23,6
2026-08-29,279,6,3854,5,7,5
2026-08-30,283,4,1520,6,9,5
2026-08-31,1185,6,4025,75,17,4
2026-09-01,267,3,1158,27,11,3
2026-09-02,103,5,753,2,3,2
2026-09-03,49,6,1701,2,2,2
2026-09-04,2691,32,18762,33,42,19
2026-09-05,3004,18,18233,15,16,9
2026-09-06,2034,8,10849,6,8,6
2026-09-07,757,8,4967,4,7,3
2026-09-08,865,11,6184,10,25,10
2026-09-09,6039,20,34841,16,46,16
2026-09-10,7967,34,38722,24,33,21
2026-09-11,5093,20,21083,13,21,13
