event_name,events,devices,first_day,last_day,missing_device_pct
session_summary,4790,127,2026-08-06,2026-09-11,0.0
chop_tree,4560,75,2026-07-27,2026-09-11,0.0
plant_seed,2768,58,2026-07-27,2026-09-11,0.0
water_crop,2024,41,2026-07-27,2026-09-11,0.0
econ_tx,1992,137,2026-08-06,2026-09-11,0.0
harvest_crop,1956,45,2026-07-27,2026-09-11,0.0
firefly_swing_empty,1717,18,2026-08-12,2026-09-11,0.0
mine_ore,1586,28,2026-08-04,2026-09-11,0.0
scroll,1585,323,2026-07-27,2026-09-11,0.0
page_view,1564,356,2026-07-27,2026-09-11,0.0
npc_talk,1440,75,2026-08-01,2026-09-11,0.0
dex_discover,1383,132,2026-08-08,2026-09-11,0.0
churn_score,1267,35,2026-09-06,2026-09-11,0.0
firefly_swing,1138,19,2026-08-12,2026-09-11,0.0
session_time,1017,127,2026-07-27,2026-09-11,0.0
fishing_cast,943,46,2026-07-28,2026-09-11,0.0
login,911,165,2026-07-27,2026-09-11,0.0
forage_pick,876,25,2026-08-12,2026-09-11,0.0
fishing_catch,817,44,2026-07-28,2026-09-11,0.0
shop_sell,812,31,2026-08-01,2026-09-11,0.0
zone_enter,761,45,2026-08-12,2026-09-11,0.0
session_start,725,356,2026-07-27,2026-09-11,0.0
firefly_catch,677,19,2026-08-12,2026-09-11,0.0
tutorial_skip,656,107,2026-07-28,2026-09-11,0.0
character_select,621,125,2026-08-04,2026-09-11,0.0
daily_bonus,611,136,2026-08-06,2026-09-11,0.0
quest_offered,564,62,2026-08-06,2026-09-11,0.0
quest_accept,505,70,2026-07-27,2026-09-11,0.0
quest_complete,398,46,2026-07-27,2026-09-11,0.0
tutorial_step,397,57,2026-07-28,2026-09-11,0.0
weather_day,391,83,2026-08-06,2026-09-10,0.0
story_chapter_start,382,99,2026-08-17,2026-09-11,0.0
first_visit,361,356,2026-07-27,2026-09-11,0.0
mist_soothe_miss,336,15,2026-08-15,2026-09-11,0.0
dig_plot,329,6,2026-09-09,2026-09-11,0.0
intro_start,298,88,2026-08-17,2026-09-11,0.0
nickname_set,290,89,2026-08-17,2026-09-11,0.0
color_unlock,258,40,2026-08-04,2026-09-11,0.0
intro_skip,212,60,2026-08-17,2026-09-11,0.0
first_chop,194,75,2026-07-27,2026-09-11,0.0
enter_house,169,31,2026-07-28,2026-09-11,0.0
cooking_start,163,23,2026-08-16,2026-09-11,0.0
user_engagement,158,80,2026-07-27,2026-09-11,0.0
exit_house,154,30,2026-07-28,2026-09-11,0.0
cooking_result,154,23,2026-08-16,2026-09-11,0.0
enter_farm,153,29,2026-08-01,2026-09-11,0.0
login_screen,151,54,2026-09-04,2026-09-11,0.0
exit_farm,145,29,2026-08-01,2026-09-11,0.0
kitchen_open,143,26,2026-08-16,2026-09-11,0.0
mist_soothe,135,10,2026-08-15,2026-09-11,0.0
sea_cast,131,16,2026-08-27,2026-09-09,0.0
enter_cafe,121,30,2026-08-12,2026-09-11,0.0
badge_earn,119,34,2026-08-09,2026-09-11,0.0
enter_mine,119,33,2026-08-04,2026-09-11,0.0
boat_hit,109,20,2026-08-14,2026-09-11,0.0
exit_mine,106,30,2026-08-04,2026-09-11,0.0
place_decor,102,20,2026-07-28,2026-09-11,0.0
leaderboard_open,99,31,2026-08-18,2026-09-11,0.0
exit_cafe,98,28,2026-08-12,2026-09-11,0.0
boat_enter,94,28,2026-08-14,2026-09-11,0.0
tutorial_start,89,64,2026-07-28,2026-09-11,0.0
mist_lantern,88,9,2026-08-15,2026-09-11,0.0
craft_item,87,13,2026-08-04,2026-09-11,0.0
boat_pickup,87,15,2026-08-14,2026-09-11,0.0
sea_miss,80,13,2026-08-27,2026-09-09,0.0
lucky_box,80,21,2026-08-06,2026-09-11,0.0
cafe_serve,79,18,2026-08-12,2026-09-11,0.0
boat_start,78,24,2026-08-14,2026-09-11,0.0
sea_enter,73,17,2026-08-27,2026-09-09,0.0
boat_end,72,23,2026-08-14,2026-09-11,0.0
story_chapter_complete,69,27,2026-08-17,2026-09-11,0.0
house_complete,67,38,2026-07-27,2026-09-11,0.0
pick_decor,67,7,2026-09-07,2026-09-11,0.0
cafe_guests_generated,66,30,2026-08-12,2026-09-11,0.0
dex_open,65,24,2026-08-08,2026-09-11,0.0
move_decor,63,7,2026-09-07,2026-09-11,0.0
mist_wave,60,15,2026-08-15,2026-09-11,0.0
intro_complete,58,35,2026-08-17,2026-09-11,0.0
boat_exit,57,25,2026-08-14,2026-09-11,0.0
toss_connect,54,35,2026-09-04,2026-09-11,0.0
guide_section,52,9,2026-09-08,2026-09-11,0.0
mist_enter,48,25,2026-08-15,2026-09-11,0.0
photo_capture,48,18,2026-08-03,2026-09-11,0.0
mist_purify_start,38,15,2026-08-15,2026-09-11,0.0
mist_exit,37,22,2026-08-15,2026-09-11,0.0
sea_exit,36,13,2026-08-27,2026-09-09,0.0
sea_catch,35,11,2026-08-27,2026-09-09,0.0
mist_end,34,15,2026-08-15,2026-09-11,0.0
login_nudge,31,15,2026-08-08,2026-09-10,0.0
fishing_miss,28,16,2026-07-28,2026-09-10,0.0
gift_give,27,5,2026-08-04,2026-09-11,0.0
diary_open,27,11,2026-09-09,2026-09-11,0.0
mist_practice_miss,27,3,2026-09-07,2026-09-11,0.0
feedback_submit,25,6,2026-07-27,2026-09-11,0.0
carve_start,25,9,2026-09-01,2026-09-11,0.0
lang_toggle,24,7,2026-08-20,2026-09-09,0.0
boat_shop_open,23,12,2026-08-14,2026-09-11,0.0
guide_open,19,9,2026-09-08,2026-09-11,0.0
map_locked,18,8,2026-09-09,2026-09-11,0.0
carve_result,18,9,2026-09-01,2026-09-11,0.0
cafe_open,17,7,2026-08-12,2026-09-10,0.0
merchant_visit,17,17,2026-09-05,2026-09-11,0.0
cafe_complete,15,10,2026-08-12,2026-09-11,0.0
login_nudge_click,15,2,2026-09-05,2026-09-09,0.0
house_addon_buy,15,2,2026-09-10,2026-09-10,0.0
boat_upgrade,14,4,2026-08-14,2026-09-11,0.0
shop_buy,14,6,2026-08-04,2026-09-11,0.0
house_expand,14,5,2026-09-05,2026-09-11,0.0
tutorial_complete,13,12,2026-07-28,2026-09-09,0.0
dig_expire,13,3,2026-09-09,2026-09-11,0.0
coop_feed,12,7,2026-08-09,2026-09-11,0.0
pick_outdoor,12,3,2026-09-11,2026-09-11,0.0
guide_close,11,7,2026-09-08,2026-09-11,0.0
owl_special_deliver,11,9,2026-09-09,2026-09-11,0.0
