day,dau,wau,mau_28d,new_dau,returning_dau,complete_28d
2026-07-27,11,11,11,11,0,False
2026-07-28,4,12,12,1,3,False
2026-07-29,3,12,12,0,3,False
2026-07-30,6,15,15,3,3,False
2026-07-31,3,15,15,0,3,False
2026-08-01,3,17,17,2,1,False
2026-08-02,0,17,17,0,0,False
2026-08-03,12,19,26,9,3,False
2026-08-04,13,26,34,8,5,False
2026-08-05,10,32,41,7,3,False
2026-08-06,7,32,44,3,4,False
2026-08-07,2,32,45,1,1,False
2026-08-08,5,34,48,3,2,False
2026-08-09,7,38,52,4,3,False
2026-08-10,8,36,57,5,3,False
2026-08-11,7,32,62,5,2,False
2026-08-12,8,30,66,4,4,False
2026-08-13,6,31,68,2,4,False
2026-08-14,4,31,69,1,3,False
2026-08-15,47,72,113,44,3,False
2026-08-16,23,89,133,20,3,False
2026-08-17,13,92,143,10,3,False
2026-08-18,17,101,157,14,3,False
2026-08-19,13,108,169,12,1,False
2026-08-20,9,112,177,8,1,False
2026-08-21,5,115,181,4,1,False
2026-08-22,8,78,188,7,1,False
2026-08-23,11,67,197,9,2,True
2026-08-24,6,62,194,4,2,True
2026-08-25,11,56,203,10,1,True
2026-08-26,8,51,209,7,1,True
2026-08-27,4,46,209,3,1,True
2026-08-28,5,45,211,3,2,True
2026-08-29,6,43,216,5,1,True
2026-08-30,4,38,219,3,1,True
2026-08-31,6,38,218,5,1,True
2026-09-01,3,30,211,2,1,True
2026-09-02,5,27,209,4,1,True
2026-09-03,6,29,211,5,1,True
2026-09-04,32,56,240,30,2,True
2026-09-05,18,64,250,13,5,True
2026-09-06,8,65,251,4,4,True
2026-09-07,8,64,248,4,4,True
2026-09-08,11,68,249,6,5,True
2026-09-09,20,79,259,15,5,True
2026-09-10,34,100,280,25,9,True
2026-09-11,20,85,290,11,9,True
