cohort,event_name,events,devices,cohort_devices,reach_pct
08/15 spike,boat_start,5,3,44,6.8
08/15 spike,mist_purify_start,5,3,44,6.8
08/15 spike,chop_tree,57,2,44,4.5
08/15 spike,first_chop,3,2,44,4.5
08/15 spike,fishing_cast,28,2,44,4.5
08/15 spike,fishing_catch,24,2,44,4.5
08/15 spike,craft_item,2,1,44,2.3
08/15 spike,firefly_swing,28,1,44,2.3
08/15 spike,fishing_miss,1,1,44,2.3
08/15 spike,forage_pick,11,1,44,2.3
08/15 spike,harvest_crop,35,1,44,2.3
08/15 spike,house_complete,1,1,44,2.3
08/15 spike,npc_talk,52,1,44,2.3
08/15 spike,photo_capture,1,1,44,2.3
08/15 spike,plant_seed,76,1,44,2.3
08/15 spike,quest_accept,20,1,44,2.3
08/15 spike,quest_complete,17,1,44,2.3
08/15 spike,water_crop,70,1,44,2.3
09/04 spike,chop_tree,354,6,30,20.0
09/04 spike,first_chop,10,6,30,20.0
09/04 spike,npc_talk,84,6,30,20.0
09/04 spike,quest_accept,31,6,30,20.0
09/04 spike,plant_seed,255,5,30,16.7
09/04 spike,forage_pick,69,4,30,13.3
09/04 spike,harvest_crop,144,4,30,13.3
09/04 spike,leaderboard_open,4,4,30,13.3
09/04 spike,dex_open,5,3,30,10.0
09/04 spike,fishing_cast,89,3,30,10.0
09/04 spike,fishing_catch,79,3,30,10.0
09/04 spike,house_complete,3,3,30,10.0
09/04 spike,mine_ore,70,3,30,10.0
09/04 spike,quest_complete,19,3,30,10.0
09/04 spike,cafe_serve,5,2,30,6.7
09/04 spike,cooking_start,22,2,30,6.7
09/04 spike,firefly_swing,27,2,30,6.7
09/04 spike,mist_purify_start,4,2,30,6.7
09/04 spike,photo_capture,4,2,30,6.7
09/04 spike,place_decor,5,2,30,6.7
09/04 spike,sea_cast,8,2,30,6.7
09/04 spike,boat_start,3,1,30,3.3
09/04 spike,sea_catch,3,1,30,3.3
09/04 spike,shop_sell,9,1,30,3.3
09/10 spike,npc_talk,141,9,25,36.0
09/10 spike,quest_accept,42,8,25,32.0
09/10 spike,plant_seed,148,7,25,28.0
09/10 spike,chop_tree,99,6,25,24.0
09/10 spike,first_chop,6,6,25,24.0
09/10 spike,fishing_cast,62,5,25,20.0
09/10 spike,fishing_catch,58,5,25,20.0
09/10 spike,harvest_crop,103,5,25,20.0
09/10 spike,quest_complete,31,5,25,20.0
09/10 spike,shop_sell,37,5,25,20.0
09/10 spike,cafe_serve,10,4,25,16.0
09/10 spike,cooking_start,14,4,25,16.0
09/10 spike,mine_ore,77,4,25,16.0
09/10 spike,place_decor,5,3,25,12.0
09/10 spike,boat_start,3,2,25,8.0
09/10 spike,firefly_swing,32,2,25,8.0
09/10 spike,forage_pick,19,2,25,8.0
09/10 spike,leaderboard_open,7,2,25,8.0
09/10 spike,coop_build,1,1,25,4.0
09/10 spike,coop_feed,1,1,25,4.0
09/10 spike,craft_item,1,1,25,4.0
09/10 spike,fishing_miss,2,1,25,4.0
09/10 spike,house_complete,1,1,25,4.0
09/10 spike,photo_capture,1,1,25,4.0
09/10 spike,shop_buy,1,1,25,4.0
non-spike,chop_tree,1835,54,257,21.0
non-spike,first_chop,71,54,257,21.0
non-spike,npc_talk,568,54,257,21.0
non-spike,quest_accept,244,51,257,19.8
non-spike,plant_seed,705,37,257,14.4
non-spike,quest_complete,171,34,257,13.2
non-spike,water_crop,790,30,257,11.7
non-spike,harvest_crop,365,26,257,10.1
non-spike,fishing_cast,253,22,257,8.6
non-spike,house_complete,23,22,257,8.6
non-spike,fishing_catch,200,20,257,7.8
non-spike,leaderboard_open,36,17,257,6.6
non-spike,shop_sell,143,17,257,6.6
non-spike,forage_pick,165,15,257,5.8
non-spike,mine_ore,564,15,257,5.8
non-spike,dex_open,29,14,257,5.4
non-spike,cafe_serve,32,10,257,3.9
non-spike,cooking_start,56,10,257,3.9
non-spike,boat_start,14,9,257,3.5
non-spike,photo_capture,20,9,257,3.5
non-spike,place_decor,37,9,257,3.5
non-spike,firefly_swing,323,8,257,3.1
non-spike,fishing_miss,14,8,257,3.1
non-spike,sea_cast,63,8,257,3.1
non-spike,mist_purify_start,10,7,257,2.7
non-spike,carve_start,17,6,257,2.3
non-spike,craft_item,17,5,257,1.9
non-spike,sea_catch,15,5,257,1.9
non-spike,shop_buy,8,4,257,1.6
non-spike,house_expand,7,3,257,1.2
non-spike,gift_give,4,2,257,0.8
non-spike,coop_feed,1,1,257,0.4
