first_day,cohort,device,country_group,acquisition_group,ga4_events,observed_span_sec,deliberate_events,deliberate_kinds,onboarding_events,nature_events,fishing_sea_events,quest_social_events,craft_home_events,advanced_events,d1_eligible,returned_d1,d7_eligible,returned_d7,acted
2026-07-27,non-spike,mobile,South Korea,direct / none,8,272,0,0,0,0,0,0,0,0,True,True,True,False,False
2026-07-27,non-spike,mobile,South Korea,direct / none,77,331,61,4,0,53,0,8,0,0,True,False,True,False,True
2026-07-27,non-spike,desktop,South Korea,other acquisition,54,28822,18,6,0,16,0,2,0,0,True,True,True,True,True
2026-07-27,non-spike,desktop,South Korea,direct / none,10,35,1,1,0,1,0,0,0,0,True,False,True,False,True
2026-07-27,non-spike,desktop,South Korea,direct / none,219,592,204,8,0,189,0,14,1,0,True,False,True,False,True
2026-07-27,non-spike,desktop,South Korea,direct / none,141,425,132,8,0,117,0,14,1,0,True,False,True,False,True
2026-07-27,non-spike,desktop,South Korea,direct / none,52,4715,42,6,0,39,0,3,0,0,True,False,True,False,True
2026-07-27,non-spike,mobile,South Korea,direct / none,94,74767,21,6,0,13,0,8,0,0,True,True,True,True,True
2026-07-27,non-spike,desktop,South Korea,direct / none,275,42768,112,7,0,101,0,11,0,0,True,False,True,False,True
2026-07-27,non-spike,mobile,South Korea,direct / none,51,178,45,7,0,32,0,12,1,0,True,False,True,False,True
2026-07-27,non-spike,mobile,South Korea,direct / none,13,13,8,3,0,7,0,1,0,0,True,False,True,False,True
2026-07-28,non-spike,mobile,South Korea,direct / none,20,90,8,5,6,7,0,1,0,0,True,False,True,False,True
2026-07-30,non-spike,mobile,South Korea,direct / none,83,752,65,10,9,40,17,8,0,0,True,False,True,False,True
2026-07-30,non-spike,mobile,South Korea,direct / none,46,810,27,7,10,19,0,8,0,0,True,False,True,False,True
2026-07-30,non-spike,mobile,South Korea,direct / none,27,139,11,4,6,11,0,0,0,0,True,False,True,False,True
2026-08-01,non-spike,mobile,South Korea,direct / none,22,22963,1,1,0,0,0,1,0,0,True,False,True,False,True
2026-08-01,non-spike,desktop,South Korea,direct / none,36,1230,8,1,0,0,0,0,8,0,True,False,True,False,True
2026-08-03,non-spike,mobile,South Korea,direct / none,46,23471,21,4,0,19,0,1,1,0,True,True,True,False,True
2026-08-03,non-spike,desktop,South Korea,direct / none,65,134,51,8,8,39,0,12,0,0,True,True,True,False,True
2026-08-03,non-spike,desktop,South Korea,direct / none,22,38,15,4,0,13,0,2,0,0,True,False,True,False,True
2026-08-03,non-spike,desktop,South Korea,direct / none,38,240,28,5,4,19,0,9,0,0,True,False,True,False,True
2026-08-03,non-spike,mobile,South Korea,direct / none,8,24,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-03,non-spike,desktop,South Korea,direct / none,13,4748,2,2,0,0,0,2,0,0,True,False,True,False,True
2026-08-03,non-spike,desktop,South Korea,direct / none,27,142,20,7,0,3,10,7,0,0,True,False,True,False,True
2026-08-03,non-spike,desktop,South Korea,direct / none,36,2422,6,4,2,2,0,2,0,2,True,True,True,False,True
2026-08-03,non-spike,mobile,South Korea,direct / none,80,325,54,12,13,46,2,4,2,0,True,False,True,False,True
2026-08-04,non-spike,desktop,South Korea,direct / none,104,5258,68,8,17,59,0,4,5,0,True,False,True,False,True
2026-08-04,non-spike,desktop,South Korea,direct / none,10,12,0,0,0,0,0,0,0,0,True,False,True,True,False
2026-08-04,non-spike,desktop,South Korea,direct / none,370,9056,316,19,0,171,48,61,35,1,True,False,True,False,True
2026-08-04,non-spike,mobile,United States,other acquisition,5,31,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-04,non-spike,mobile,United States,other acquisition,5,17,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-04,non-spike,mobile,South Korea,other acquisition,13,400,2,2,2,0,0,2,0,0,True,False,True,False,True
2026-08-04,non-spike,mobile,South Korea,direct / none,7,8,0,0,2,0,0,0,0,0,True,False,True,False,False
2026-08-04,non-spike,mobile,South Korea,other acquisition,10,495,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-05,non-spike,mobile,South Korea,direct / none,25,334,0,0,3,0,0,0,0,0,True,False,True,False,False
2026-08-05,non-spike,mobile,South Korea,direct / none,19,304,0,0,3,0,0,0,0,0,True,True,True,False,False
2026-08-05,non-spike,mobile,South Korea,direct / none,11,177,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-05,non-spike,mobile,South Korea,direct / none,28,15146,4,1,2,4,0,0,0,0,True,True,True,False,True
2026-08-05,non-spike,mobile,South Korea,direct / none,115,3784,1,1,13,0,0,1,0,0,True,False,True,False,True
2026-08-05,non-spike,mobile,South Korea,other acquisition,81,173,67,6,2,49,0,17,1,0,True,False,True,False,True
2026-08-05,non-spike,desktop,South Korea,direct / none,18,347,4,2,2,4,0,0,0,0,True,False,True,False,True
2026-08-06,non-spike,desktop,South Korea,direct / none,315,15050,10,3,15,4,0,0,0,6,True,False,True,False,True
2026-08-06,non-spike,mobile,South Korea,direct / none,361,612,277,12,1,174,33,59,11,0,True,False,True,False,True
2026-08-06,non-spike,desktop,South Korea,direct / none,94,3029,39,7,3,32,2,2,1,2,True,False,True,False,True
2026-08-07,non-spike,mobile,South Korea,direct / none,23,33,11,1,1,0,11,0,0,0,True,False,True,False,True
2026-08-08,non-spike,desktop,South Korea,direct / none,97,2930,2,1,9,0,0,0,0,2,True,False,True,False,True
2026-08-08,non-spike,mobile,South Korea,direct / none,113,362,71,14,13,42,9,15,4,1,True,False,True,False,True
2026-08-08,non-spike,desktop,South Korea,direct / none,166,1848,6,1,5,0,0,0,0,6,True,False,True,False,True
2026-08-09,non-spike,desktop,South Korea,direct / none,229,10909,11,5,13,2,2,0,0,7,True,False,True,False,True
2026-08-09,non-spike,mobile,South Korea,direct / none,49,1485,4,4,3,0,2,0,0,2,True,False,True,False,True
2026-08-09,non-spike,mobile,South Korea,direct / none,112,418,62,6,2,38,0,23,1,0,True,True,True,False,True
2026-08-09,non-spike,desktop,South Korea,direct / none,34,2253,0,0,1,0,0,0,0,0,True,False,True,False,False
2026-08-10,non-spike,desktop,South Korea,direct / none,12,88,0,0,1,0,0,0,0,0,True,False,True,False,False
2026-08-10,non-spike,mobile,South Korea,other acquisition,5,4,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-10,non-spike,desktop,Other,other acquisition,5,28,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-10,non-spike,mobile,South Korea,other acquisition,14,40,1,1,1,0,0,1,0,0,True,False,True,False,True
2026-08-10,non-spike,mobile,South Korea,other acquisition,9,15,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-11,non-spike,desktop,South Korea,direct / none,5,68,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-11,non-spike,mobile,South Korea,direct / none,5,3,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-11,non-spike,mobile,South Korea,direct / none,3,0,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-11,non-spike,mobile,South Korea,direct / none,4,4,0,0,0,0,0,0,0,0,True,True,True,False,False
2026-08-11,non-spike,desktop,United States,direct / none,5,5,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-12,non-spike,desktop,South Korea,direct / none,5,9,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-12,non-spike,desktop,South Korea,direct / none,1616,17691,44,8,86,21,2,0,0,21,True,False,True,False,True
2026-08-12,non-spike,mobile,South Korea,direct / none,52,10621,0,0,3,0,0,0,0,0,True,True,True,False,False
2026-08-12,non-spike,desktop,South Korea,direct / none,35,14376,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-13,non-spike,mobile,South Korea,direct / none,14,9,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-13,non-spike,desktop,South Korea,direct / none,70,2167,6,3,6,0,0,4,1,1,True,False,True,False,True
2026-08-14,non-spike,desktop,South Korea,direct / none,135,20294,2,1,9,0,2,0,0,0,True,False,True,False,True
2026-08-15,08/15 spike,desktop,Other,direct / none,8,46,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-15,08/15 spike,desktop,United States,direct / none,4,9,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-15,08/15 spike,desktop,South Korea,direct / none,12,23,0,0,1,0,0,0,0,0,True,False,True,False,False
2026-08-15,08/15 spike,desktop,United States,other acquisition,5,29,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-15,08/15 spike,desktop,Other,direct / none,3,0,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-15,08/15 spike,mobile,United States,direct / none,4,0,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-15,08/15 spike,desktop,United States,direct / none,4,8,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-15,08/15 spike,desktop,United States,direct / none,3,0,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-15,08/15 spike,desktop,United States,other acquisition,3,0,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-15,08/15 spike,mobile,United States,direct / none,4,5,0,0,0,0,0,0,0,0,True,False,True,False,False
2026-08-15,08/15 spike,mobile,United States,direct / none,4,0,0,0,0,0,0,0,0,0,True,False,True,False,False
