source,day,record_count,devices,toss_rows,toss_devices,missing_event_platform_rows,toss_user_property_rows,beta_rows,toss_beta_rows,toss_source_rows
GA4 events,2026-09-04,2691,32,2250,21,226,50,0,0,0
deduped sessions,2026-09-04,42,19,32,14,2,,0,0,
GA4 events,2026-09-05,3004,18,2609,11,137,22,0,0,0
deduped sessions,2026-09-05,16,9,9,6,0,,0,0,
GA4 events,2026-09-06,2034,8,1918,4,57,8,0,0,0
deduped sessions,2026-09-06,8,6,6,4,0,,0,0,
GA4 events,2026-09-07,757,8,613,3,49,5,0,0,0
deduped sessions,2026-09-07,7,3,4,2,0,,0,0,
GA4 events,2026-09-08,865,11,163,4,104,10,0,0,0
deduped sessions,2026-09-08,25,10,8,4,0,,0,0,
GA4 events,2026-09-09,6039,20,952,5,231,12,40,0,0
deduped sessions,2026-09-09,46,16,11,5,0,,30,0,
GA4 events,2026-09-10,7967,34,228,8,211,15,46,0,0
deduped sessions,2026-09-10,33,21,6,5,0,,17,0,
GA4 events,2026-09-11,5093,20,130,5,124,6,24,0,0
deduped sessions,2026-09-11,21,13,3,3,0,,14,0,
GA4 events,2026-09-12,2975,21,952,5,135,9,15,0,0
deduped sessions,2026-09-12,20,13,5,3,0,,9,0,
deduped sessions,2026-09-13,18,14,6,4,0,,8,0,
