익명 기기,행동,기록 횟수
T01,광석 캐기,172
T01,나무 베기,164
T01,NPC 대화,79
T01,씨앗 심기,74
T02,나무 베기,180
T02,낚싯대 던지기,81
T02,물고기 잡기,72
T02,NPC 대화,40
T03,씨앗 심기,174
T03,수확,89
T03,나무 베기,70
T03,NPC 대화,12
T04,나무 베기,96
T04,씨앗 심기,52
T04,광석 캐기,45
T04,수확,37
T05,나무 베기,105
T05,광석 캐기,46
T05,NPC 대화,24
T05,물 주기,16
T06,나무 베기,45
T06,광석 캐기,19
T06,NPC 대화,19
T06,바다 낚싯대 던지기,19
T07,나무 베기,21
T07,씨앗 심기,14
T07,물 주기,14
T07,NPC 대화,9
T08,나무 베기,36
T08,NPC 대화,4
T08,상점 판매,3
T08,퀘스트 수락,2
T09,물 주기,16
T09,씨앗 심기,12
T09,수확,8
T09,나무 베기,3
T10,나무 베기,24
T10,NPC 대화,5
T10,퀘스트 수락,5
T10,첫 벌목,1
