device_label,first_toss_day,device,country_group,acquisition_source,early_tracked_events,early_actions,early_action_kinds,early_area_count,early_nature_events,early_fishing_sea_events,early_quest_social_events,early_craft_home_events,early_advanced_events,early_connect_fail,early_connect_ok,early_toss_login,early_login_screen,early_tutorial_start,early_tutorial_complete,later_actions,later_action_kinds,later_area_count,later_active,early_action_segment,early_area_segment,early_connection_segment,feature_boundary_violations,label_boundary_violations
D001,2026-09-04,mobile,South Korea,(direct),181,114,10,3,98,0,15,0,1,0,1,2,0,1,0,753,20,5,True,6회 이상,2개 이상,연결 성공만 기록,0,0
D002,2026-09-11,mobile,South Korea,(direct),2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,False,0회,0개,연결 실패 기록,0,0
D003,2026-09-09,mobile,South Korea,(direct),228,100,16,5,62,4,15,5,14,0,0,0,0,1,0,105,21,5,True,6회 이상,2개 이상,연결 이벤트 없음,0,0
D004,2026-09-05,mobile,South Korea,(direct),159,88,13,4,75,0,8,4,1,3,0,0,3,1,0,755,27,5,True,6회 이상,2개 이상,연결 실패 기록,0,0
D005,2026-09-04,mobile,South Korea,(direct),313,226,12,4,187,0,17,1,21,0,1,1,0,1,0,319,14,5,True,6회 이상,2개 이상,연결 성공만 기록,0,0
D006,2026-09-05,mobile,South Korea,(direct),142,76,16,5,66,2,4,2,2,0,1,1,0,1,0,182,14,4,True,6회 이상,2개 이상,연결 성공만 기록,0,0
D007,2026-09-04,mobile,South Korea,(direct),8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,0회,0개,연결 성공만 기록,0,0
D008,2026-09-11,mobile,South Korea,(direct),2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,False,0회,0개,연결 실패 기록,0,0
D009,2026-09-06,mobile,South Korea,(direct),83,47,10,3,41,0,4,2,0,0,0,0,0,1,0,0,0,0,False,6회 이상,2개 이상,연결 이벤트 없음,0,0
D010,2026-09-04,mobile,South Korea,(direct),15,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,False,0회,0개,연결 성공만 기록,0,0
D011,2026-09-04,mobile,South Korea,(direct),14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14,6,2,True,0회,0개,연결 성공만 기록,0,0
D012,2026-09-04,desktop,South Korea,(direct),8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,True,0회,0개,연결 이벤트 없음,0,0
D013,2026-09-10,mobile,South Korea,(direct),7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0회,0개,연결 이벤트 없음,0,0
D014,2026-09-04,mobile,South Korea,(direct),10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,0회,0개,연결 성공만 기록,0,0
D015,2026-09-10,mobile,South Korea,(direct),28,7,3,2,2,0,5,0,0,0,0,1,0,0,0,0,0,0,False,6회 이상,2개 이상,연결 이벤트 없음,0,0
D016,2026-09-05,mobile,South Korea,(direct),45,9,4,3,7,0,1,0,1,0,0,0,0,0,0,0,0,0,False,6회 이상,2개 이상,연결 이벤트 없음,0,0
D017,2026-09-04,mobile,South Korea,(direct),15,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,False,1~5회,1개,연결 성공만 기록,0,0
D018,2026-09-04,mobile,South Korea,(direct),35,14,4,2,13,1,0,0,0,0,1,2,0,1,0,317,18,5,True,6회 이상,2개 이상,연결 성공만 기록,0,0
D019,2026-09-11,mobile,South Korea,(direct),106,55,12,4,40,0,8,6,1,0,0,0,0,1,0,0,0,0,False,6회 이상,2개 이상,연결 이벤트 없음,0,0
D020,2026-09-05,mobile,South Korea,(direct),19,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,False,0회,0개,연결 실패 기록,0,0
D021,2026-09-06,mobile,South Korea,(direct),46,21,4,3,19,1,0,1,0,0,0,1,0,0,0,0,0,0,False,6회 이상,2개 이상,연결 이벤트 없음,0,0
D022,2026-09-05,mobile,South Korea,(direct),16,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,False,0회,0개,연결 실패 기록,0,0
D023,2026-09-04,mobile,South Korea,(direct),24,4,4,1,4,0,0,0,0,0,1,1,0,1,0,0,0,0,False,1~5회,1개,연결 성공만 기록,0,0
D024,2026-09-04,mobile,South Korea,(direct),14,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,False,0회,0개,연결 성공만 기록,0,0
D025,2026-09-04,mobile,South Korea,(direct),22,7,2,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,False,6회 이상,1개,연결 실패 기록,0,0
D026,2026-09-04,mobile,South Korea,(direct),8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,0회,0개,연결 성공만 기록,0,0
D027,2026-09-04,mobile,South Korea,(direct),14,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,False,0회,0개,연결 성공만 기록,0,0
D028,2026-09-10,mobile,South Korea,(direct),8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,False,0회,0개,연결 실패 기록,0,0
D029,2026-09-04,mobile,South Korea,(direct),8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,0회,0개,연결 성공만 기록,0,0
D030,2026-09-04,mobile,South Korea,(direct),12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,0회,0개,연결 성공만 기록,0,0
D031,2026-09-05,mobile,South Korea,(direct),53,5,3,2,0,0,4,0,1,5,0,0,4,1,0,0,0,0,False,1~5회,2개 이상,연결 실패 기록,0,0
D032,2026-09-10,mobile,South Korea,(direct),84,38,7,4,25,0,10,2,1,0,0,0,0,1,0,0,0,0,False,6회 이상,2개 이상,연결 이벤트 없음,0,0
D033,2026-09-05,mobile,South Korea,(direct),7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,0회,0개,연결 성공만 기록,0,0
D034,2026-09-05,mobile,South Korea,(direct),8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,False,0회,0개,연결 실패 기록,0,0
D035,2026-09-11,mobile,South Korea,(direct),16,2,2,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,False,1~5회,1개,연결 실패 기록,0,0
D036,2026-09-08,mobile,South Korea,(direct),44,7,5,3,5,0,1,1,0,3,0,0,3,1,0,0,0,0,False,6회 이상,2개 이상,연결 실패 기록,0,0
D037,2026-09-04,mobile,South Korea,(direct),44,15,6,2,5,0,10,0,0,0,1,1,0,1,0,0,0,0,False,6회 이상,2개 이상,연결 성공만 기록,0,0
D038,2026-09-04,mobile,South Korea,(direct),19,3,3,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,False,1~5회,2개 이상,연결 성공만 기록,0,0
D039,2026-09-10,mobile,South Korea,(direct),46,17,3,2,8,0,9,0,0,0,0,0,0,0,0,0,0,0,False,6회 이상,2개 이상,연결 이벤트 없음,0,0
D040,2026-09-10,mobile,South Korea,(direct),14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,0회,0개,연결 이벤트 없음,0,0
D041,2026-09-04,mobile,South Korea,(direct),10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,0회,0개,연결 성공만 기록,0,0
D042,2026-09-04,mobile,South Korea,(direct),23,4,2,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,False,1~5회,1개,연결 성공만 기록,0,0
D043,2026-09-09,mobile,South Korea,(direct),53,18,9,4,9,0,6,1,2,0,0,0,0,1,0,0,0,0,False,6회 이상,2개 이상,연결 이벤트 없음,0,0
D044,2026-09-04,mobile,South Korea,(direct),8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,0회,0개,연결 성공만 기록,0,0
D045,2026-09-09,mobile,South Korea,(direct),2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,False,0회,0개,연결 실패 기록,0,0
D046,2026-09-05,mobile,South Korea,(direct),15,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,False,1~5회,1개,연결 성공만 기록,0,0
