segment_axis,segment_value,devices,later_active_devices,later_inactive_devices,later_active_rate,minority_class_devices,early_action_events,later_action_events,feature_boundary_violations,label_boundary_violations,modeling_readiness_flag
전체,전체,46,8,38,0.17391304347826086,8,879,2446,0,0,minority<10
초반 행동량,0회,22,2,20,0.09090909090909091,2,0,15,0,0,n<30
초반 행동량,6회 이상,17,6,11,0.35294117647058826,6,859,2431,0,0,n<30
초반 행동량,1~5회,7,0,7,0.0,0,20,0,0,0,n<30
초반 영역 수,0개,22,2,20,0.09090909090909091,2,0,15,0,0,n<30
초반 영역 수,2개 이상,18,6,12,0.3333333333333333,6,860,2431,0,0,n<30
초반 영역 수,1개,6,0,6,0.0,0,19,0,0,0,n<30
초반 연결 상태,연결 성공만 기록,22,5,17,0.22727272727272727,5,458,1585,0,0,n<30
초반 연결 상태,연결 실패 기록,12,1,11,0.08333333333333333,1,109,755,0,0,n<30
초반 연결 상태,연결 이벤트 없음,12,2,10,0.16666666666666666,2,312,106,0,0,n<30
초반 토스 로그인,있음,24,5,19,0.20833333333333334,5,486,1585,0,0,n<30
초반 토스 로그인,없음,22,3,19,0.13636363636363635,3,393,861,0,0,n<30
초반 로그인 화면,없음,36,7,29,0.19444444444444445,7,777,1691,0,0,minority<10
초반 로그인 화면,있음,10,1,9,0.1,1,102,755,0,0,n<30
초반 튜토리얼 완료,없음,46,8,38,0.17391304347826086,8,879,2446,0,0,minority<10
자연·채집 초반 도달,없음,27,2,25,0.07407407407407407,2,14,15,0,0,n<30
자연·채집 초반 도달,있음,19,6,13,0.3157894736842105,6,865,2431,0,0,n<30
낚시·바다 초반 도달,없음,42,5,37,0.11904761904761904,5,668,1842,0,0,minority<10
낚시·바다 초반 도달,있음,4,3,1,0.75,1,211,604,0,0,n<30
퀘스트·교류 초반 도달,없음,28,3,25,0.10714285714285714,3,49,332,0,0,n<30
퀘스트·교류 초반 도달,있음,18,5,13,0.2777777777777778,5,830,2114,0,0,n<30
기기,mobile,45,7,38,0.15555555555555556,7,879,2445,0,0,minority<10
기기,desktop,1,1,0,1.0,0,0,1,0,0,n<30
국가,South Korea,46,8,38,0.17391304347826086,8,879,2446,0,0,minority<10
첫 토스 관측일,2026-09-04,21,5,16,0.23809523809523808,5,388,1404,0,0,n<30
첫 토스 관측일,2026-09-05,9,2,7,0.2222222222222222,2,179,937,0,0,n<30
첫 토스 관측일,2026-09-10,6,0,6,0.0,0,62,0,0,0,n<30
첫 토스 관측일,2026-09-11,4,0,4,0.0,0,57,0,0,0,n<30
첫 토스 관측일,2026-09-09,3,1,2,0.3333333333333333,1,118,105,0,0,n<30
첫 토스 관측일,2026-09-06,2,0,2,0.0,0,68,0,0,0,n<30
첫 토스 관측일,2026-09-08,1,0,1,0.0,0,7,0,0,0,n<30
