device_label,channel_segment,early_action_segment,y,score
D001,토스 관측,6회 이상,1,0.9300098264778687
D002,메인·웹만,6회 이상,1,0.6516701692136416
D003,메인·웹만,0회,0,0.07119677252822071
D004,메인·웹만,0회,0,0.07162618660502666
D005,메인·웹만,0회,0,0.016548807625253514
D006,토스 관측,0회,0,0.05881237628501153
D007,메인·웹만,0회,0,0.03406384962520878
D008,토스 관측,6회 이상,1,0.9300386713861611
D009,토스 관측,6회 이상,1,0.415901704601224
D010,메인·웹만,0회,0,0.3242066884545757
D011,토스 관측,6회 이상,1,0.8753573293424828
D012,메인·웹만,1~5회,0,0.4613401897730295
D013,토스 관측,6회 이상,1,0.9655463835017872
D014,토스 관측,0회,0,0.2606265100890914
D015,토스 관측,0회,0,0.05266879644378723
D016,토스 관측,6회 이상,0,0.3360639887936729
D017,토스 관측,0회,0,0.35080124920129985
D018,토스 관측,0회,1,0.1272552578179921
D019,토스 관측,0회,1,0.2228067202453039
D020,메인·웹만,0회,0,0.38902277253764916
D021,토스 관측,0회,0,0.09314090661559385
D022,메인·웹만,0회,0,0.3822958076044061
D023,메인·웹만,0회,0,0.5233957689638055
D024,메인·웹만,0회,0,0.15794509144337845
D025,메인·웹만,0회,0,0.15593323107544882
D026,메인·웹만,0회,1,0.2641520463318884
D027,메인·웹만,0회,0,0.026084165904271338
D028,메인·웹만,0회,0,0.4229403933968681
D029,메인·웹만,0회,0,0.008953520044523749
D030,메인·웹만,0회,0,0.5478725865029775
D031,토스 관측,0회,0,0.2783521694086623
D032,토스 관측,6회 이상,0,0.14268585480862353
D033,메인·웹만,0회,0,0.06987136061857323
D034,메인·웹만,0회,0,0.025057976427580373
D035,토스 관측,6회 이상,0,0.48298430926194924
D036,메인·웹만,0회,0,0.026609035198524155
D037,메인·웹만,0회,0,0.054332644489380987
D038,메인·웹만,0회,0,0.054338493145989056
D039,토스 관측,1~5회,0,0.691599687514533
D040,메인·웹만,0회,0,0.02647260111891649
D041,메인·웹만,1~5회,1,0.9704694421796514
D042,메인·웹만,0회,0,0.3094287433189377
D043,메인·웹만,0회,0,0.01619856784468878
D044,토스 관측,6회 이상,1,0.7137923287375695
D045,메인·웹만,0회,0,0.15141416066344107
D046,토스 관측,6회 이상,0,0.6905191902105919
D047,메인·웹만,0회,0,0.07057629884983155
D048,메인·웹만,0회,0,0.07166983121038323
D049,토스 관측,0회,0,0.21146716201052207
D050,토스 관측,6회 이상,0,0.924651913749987
D051,토스 관측,0회,0,0.21095165709547611
D052,메인·웹만,0회,0,0.37985776442758634
D053,메인·웹만,0회,0,0.10608114283256129
D054,메인·웹만,0회,0,0.05152575832892164
D055,토스 관측,1~5회,0,0.5804145773824774
D056,메인·웹만,0회,0,0.15809756904229
D057,토스 관측,0회,0,0.36708717427305165
D058,토스 관측,6회 이상,0,0.18012045169896196
D059,토스 관측,0회,0,0.20256412654744613
D060,토스 관측,0회,0,0.3569231421786613
D061,메인·웹만,0회,0,0.44104432333294047
D062,토스 관측,0회,0,0.055385668485539864
D063,메인·웹만,0회,0,0.027784560839413035
D064,토스 관측,0회,0,0.29073590043572967
D065,메인·웹만,0회,0,0.370782794348959
D066,토스 관측,0회,0,0.34259111925901004
D067,토스 관측,1~5회,0,0.6341702042701117
D068,토스 관측,6회 이상,0,0.50689796279311
D069,토스 관측,0회,0,0.2550071049289103
D070,토스 관측,0회,0,0.11292683176614511
D071,메인·웹만,0회,0,0.3637895701566255
D072,메인·웹만,0회,1,0.6269425589738282
D073,메인·웹만,0회,0,0.40428321655803673
D074,토스 관측,1~5회,0,0.1609339616396204
D075,메인·웹만,0회,0,0.3632980797349243
D076,토스 관측,6회 이상,0,0.1451756665344942
D077,메인·웹만,0회,0,0.43908127292457166
D078,메인·웹만,0회,0,0.5087865615415661
D079,토스 관측,6회 이상,0,0.5147103554906586
D080,토스 관측,1~5회,0,0.5261746797213409
D081,메인·웹만,0회,0,0.1626437919969479
D082,메인·웹만,0회,0,0.06429404090323658
D083,메인·웹만,0회,0,0.01656415333727148
D084,토스 관측,6회 이상,0,0.2033698939963779
D085,메인·웹만,0회,0,0.04156677498122816
D086,토스 관측,0회,0,0.1567533754968614
D087,메인·웹만,0회,0,0.055495690853852114
D088,토스 관측,0회,0,0.27805085600894947
D089,토스 관측,1~5회,0,0.2645364780664085
D090,토스 관측,6회 이상,0,0.4323738352317092
D091,토스 관측,0회,0,0.266951381149555
D092,토스 관측,0회,0,0.05803626441018629
D093,토스 관측,1~5회,0,0.1852453532272692
D094,메인·웹만,0회,0,0.06905665449289076
D095,메인·웹만,0회,0,0.06702662044690375
