first_day,split_segment,devices,positives,rate
2026-09-04,고밀도+의도행동 많음,5,3,0.6
2026-09-04,고밀도+의도행동 적음,5,2,0.4
2026-09-04,저밀도+의도행동 없음,19,1,0.05263157894736842
2026-09-04,저밀도+의도행동 있음,1,0,0.0
2026-09-05,고밀도+의도행동 많음,3,2,0.6666666666666666
2026-09-05,고밀도+의도행동 적음,3,0,0.0
2026-09-05,저밀도+의도행동 없음,6,1,0.16666666666666666
2026-09-05,저밀도+의도행동 있음,1,0,0.0
2026-09-06,고밀도+의도행동 많음,2,0,0.0
2026-09-06,저밀도+의도행동 없음,2,0,0.0
2026-09-07,저밀도+의도행동 없음,3,0,0.0
2026-09-08,고밀도+의도행동 많음,2,1,0.5
2026-09-08,저밀도+의도행동 없음,2,0,0.0
2026-09-09,고밀도+의도행동 많음,2,1,0.5
2026-09-09,고밀도+의도행동 적음,1,1,1.0
2026-09-09,저밀도+의도행동 없음,8,0,0.0
2026-09-10,고밀도+의도행동 많음,3,0,0.0
2026-09-10,고밀도+의도행동 적음,1,0,0.0
2026-09-10,저밀도+의도행동 없음,15,0,0.0
2026-09-11,고밀도+의도행동 많음,1,0,0.0
2026-09-11,고밀도+의도행동 적음,1,0,0.0
2026-09-11,저밀도+의도행동 없음,9,0,0.0
