split_segment,later_active,event_category,devices_in_group,total_early_events_in_group,event_count,event_share
고밀도+의도행동 많음,False,GA4 자동·세션,11,657,56,0.0852359208523592
고밀도+의도행동 많음,False,기타 추적,11,657,335,0.5098934550989346
고밀도+의도행동 많음,False,의도행동:advanced,11,657,5,0.0076103500761035
고밀도+의도행동 많음,False,의도행동:craft_home,11,657,13,0.0197869101978691
고밀도+의도행동 많음,False,의도행동:fishing_sea,11,657,1,0.0015220700152207
고밀도+의도행동 많음,False,의도행동:nature,11,657,168,0.2557077625570776
고밀도+의도행동 많음,False,의도행동:quest_social,11,657,54,0.0821917808219178
고밀도+의도행동 많음,False,진입·로그인·튜토리얼,11,657,20,0.030441400304414
고밀도+의도행동 많음,False,토스 연결 성공,11,657,1,0.0015220700152207
고밀도+의도행동 많음,False,토스 연결 실패,11,657,4,0.0060882800608828
고밀도+의도행동 많음,True,GA4 자동·세션,7,1115,41,0.036771300448430494
고밀도+의도행동 많음,True,기타 추적,7,1115,431,0.3865470852017937
고밀도+의도행동 많음,True,의도행동:advanced,7,1115,43,0.03856502242152467
고밀도+의도행동 많음,True,의도행동:craft_home,7,1115,12,0.010762331838565023
고밀도+의도행동 많음,True,의도행동:fishing_sea,7,1115,7,0.006278026905829596
고밀도+의도행동 많음,True,의도행동:nature,7,1115,493,0.442152466367713
고밀도+의도행동 많음,True,의도행동:quest_social,7,1115,60,0.053811659192825115
고밀도+의도행동 많음,True,진입·로그인·튜토리얼,7,1115,21,0.01883408071748879
고밀도+의도행동 많음,True,토스 연결 성공,7,1115,4,0.003587443946188341
고밀도+의도행동 많음,True,토스 연결 실패,7,1115,3,0.0026905829596412557
고밀도+의도행동 적음,False,GA4 자동·세션,8,235,40,0.1702127659574468
고밀도+의도행동 적음,False,기타 추적,8,235,137,0.5829787234042553
고밀도+의도행동 적음,False,의도행동:advanced,8,235,2,0.00851063829787234
고밀도+의도행동 적음,False,의도행동:nature,8,235,6,0.02553191489361702
고밀도+의도행동 적음,False,의도행동:quest_social,8,235,13,0.05531914893617021
고밀도+의도행동 적음,False,진입·로그인·튜토리얼,8,235,20,0.0851063829787234
고밀도+의도행동 적음,False,토스 연결 성공,8,235,3,0.01276595744680851
고밀도+의도행동 적음,False,토스 연결 실패,8,235,14,0.059574468085106386
고밀도+의도행동 적음,True,GA4 자동·세션,3,151,30,0.1986754966887417
고밀도+의도행동 적음,True,기타 추적,3,151,104,0.6887417218543046
고밀도+의도행동 적음,True,의도행동:advanced,3,151,1,0.006622516556291391
고밀도+의도행동 적음,True,진입·로그인·튜토리얼,3,151,15,0.09933774834437085
고밀도+의도행동 적음,True,토스 연결 성공,3,151,1,0.006622516556291391
저밀도+의도행동 없음,False,GA4 자동·세션,62,488,256,0.5245901639344263
저밀도+의도행동 없음,False,기타 추적,62,488,165,0.33811475409836067
저밀도+의도행동 없음,False,진입·로그인·튜토리얼,62,488,50,0.10245901639344263
저밀도+의도행동 없음,False,토스 연결 성공,62,488,11,0.022540983606557378
저밀도+의도행동 없음,False,토스 연결 실패,62,488,6,0.012295081967213115
저밀도+의도행동 없음,True,GA4 자동·세션,2,26,14,0.5384615384615384
저밀도+의도행동 없음,True,기타 추적,2,26,9,0.34615384615384615
저밀도+의도행동 없음,True,진입·로그인·튜토리얼,2,26,3,0.11538461538461539
저밀도+의도행동 있음,False,GA4 자동·세션,2,38,8,0.21052631578947367
저밀도+의도행동 있음,False,기타 추적,2,38,23,0.6052631578947368
저밀도+의도행동 있음,False,의도행동:advanced,2,38,1,0.02631578947368421
저밀도+의도행동 있음,False,의도행동:quest_social,2,38,1,0.02631578947368421
저밀도+의도행동 있음,False,진입·로그인·튜토리얼,2,38,3,0.07894736842105263
저밀도+의도행동 있음,False,토스 연결 성공,2,38,2,0.05263157894736842
