split_segment,later_active,devices_in_group,total_early_events_in_group,event_category,event_name,devices_with_event,event_count,event_share
저밀도+의도행동 없음,True,2,26,GA4 자동·세션,page_view,2,5,0.19230769230769232
저밀도+의도행동 없음,True,2,26,GA4 자동·세션,scroll,2,5,0.19230769230769232
저밀도+의도행동 없음,True,2,26,기타 추적,session_time,2,4,0.15384615384615385
저밀도+의도행동 없음,True,2,26,GA4 자동·세션,first_visit,2,2,0.07692307692307693
저밀도+의도행동 없음,True,2,26,진입·로그인·튜토리얼,login_screen,1,2,0.07692307692307693
저밀도+의도행동 없음,True,2,26,GA4 자동·세션,session_start,2,2,0.07692307692307693
저밀도+의도행동 없음,True,2,26,기타 추적,daily_bonus,1,1,0.038461538461538464
저밀도+의도행동 없음,True,2,26,기타 추적,dex_discover,1,1,0.038461538461538464
저밀도+의도행동 없음,True,2,26,기타 추적,econ_tx,1,1,0.038461538461538464
저밀도+의도행동 없음,True,2,26,진입·로그인·튜토리얼,login,1,1,0.038461538461538464
저밀도+의도행동 없음,True,2,26,기타 추적,story_chapter_start,1,1,0.038461538461538464
저밀도+의도행동 없음,True,2,26,기타 추적,weather_day,1,1,0.038461538461538464
저밀도+의도행동 없음,False,62,488,GA4 자동·세션,page_view,62,65,0.13319672131147542
저밀도+의도행동 없음,False,62,488,GA4 자동·세션,first_visit,62,62,0.12704918032786885
저밀도+의도행동 없음,False,62,488,GA4 자동·세션,session_start,62,62,0.12704918032786885
저밀도+의도행동 없음,False,62,488,GA4 자동·세션,scroll,57,60,0.12295081967213115
저밀도+의도행동 없음,False,62,488,진입·로그인·튜토리얼,login_screen,26,28,0.05737704918032787
저밀도+의도행동 없음,False,62,488,기타 추적,daily_bonus,18,18,0.036885245901639344
저밀도+의도행동 없음,False,62,488,기타 추적,dex_discover,18,18,0.036885245901639344
저밀도+의도행동 없음,False,62,488,기타 추적,econ_tx,18,18,0.036885245901639344
저밀도+의도행동 없음,False,62,488,진입·로그인·튜토리얼,login,18,18,0.036885245901639344
저밀도+의도행동 없음,False,62,488,기타 추적,story_chapter_start,18,18,0.036885245901639344
저밀도+의도행동 없음,False,62,488,기타 추적,weather_day,16,16,0.03278688524590164
저밀도+의도행동 없음,False,62,488,기타 추적,session_summary,14,15,0.030737704918032786
저밀도+의도행동 없음,False,62,488,기타 추적,session_time,11,12,0.02459016393442623
저밀도+의도행동 없음,False,62,488,토스 연결 성공,toss_connect,11,11,0.022540983606557378
저밀도+의도행동 없음,False,62,488,기타 추적,character_select,10,10,0.020491803278688523
저밀도+의도행동 없음,False,62,488,기타 추적,intro_start,10,10,0.020491803278688523
저밀도+의도행동 없음,False,62,488,기타 추적,nickname_set,10,10,0.020491803278688523
저밀도+의도행동 없음,False,62,488,GA4 자동·세션,user_engagement,7,7,0.014344262295081968
저밀도+의도행동 없음,False,62,488,토스 연결 실패,toss_connect,5,6,0.012295081967213115
저밀도+의도행동 없음,False,62,488,기타 추적,intro_skip,5,5,0.010245901639344262
저밀도+의도행동 없음,False,62,488,기타 추적,tutorial_skip,4,4,0.00819672131147541
저밀도+의도행동 없음,False,62,488,진입·로그인·튜토리얼,tutorial_start,4,4,0.00819672131147541
저밀도+의도행동 없음,False,62,488,기타 추적,tutorial_step,4,4,0.00819672131147541
저밀도+의도행동 없음,False,62,488,기타 추적,intro_complete,3,3,0.006147540983606557
저밀도+의도행동 없음,False,62,488,기타 추적,churn_score,2,2,0.004098360655737705
저밀도+의도행동 없음,False,62,488,기타 추적,boat_enter,1,1,0.0020491803278688526
저밀도+의도행동 없음,False,62,488,기타 추적,boat_exit,1,1,0.0020491803278688526
저밀도+의도행동 있음,False,2,38,기타 추적,dex_discover,2,3,0.07894736842105263
저밀도+의도행동 있음,False,2,38,기타 추적,character_select,2,2,0.05263157894736842
저밀도+의도행동 있음,False,2,38,기타 추적,daily_bonus,2,2,0.05263157894736842
저밀도+의도행동 있음,False,2,38,기타 추적,econ_tx,2,2,0.05263157894736842
저밀도+의도행동 있음,False,2,38,GA4 자동·세션,first_visit,2,2,0.05263157894736842
저밀도+의도행동 있음,False,2,38,기타 추적,intro_skip,2,2,0.05263157894736842
저밀도+의도행동 있음,False,2,38,기타 추적,intro_start,2,2,0.05263157894736842
저밀도+의도행동 있음,False,2,38,진입·로그인·튜토리얼,login,2,2,0.05263157894736842
저밀도+의도행동 있음,False,2,38,기타 추적,nickname_set,2,2,0.05263157894736842
저밀도+의도행동 있음,False,2,38,GA4 자동·세션,page_view,2,2,0.05263157894736842
저밀도+의도행동 있음,False,2,38,GA4 자동·세션,scroll,2,2,0.05263157894736842
저밀도+의도행동 있음,False,2,38,GA4 자동·세션,session_start,2,2,0.05263157894736842
저밀도+의도행동 있음,False,2,38,기타 추적,story_chapter_start,2,2,0.05263157894736842
저밀도+의도행동 있음,False,2,38,토스 연결 성공,toss_connect,2,2,0.05263157894736842
저밀도+의도행동 있음,False,2,38,기타 추적,kitchen_open,1,1,0.02631578947368421
저밀도+의도행동 있음,False,2,38,의도행동:advanced,leaderboard_open,1,1,0.02631578947368421
저밀도+의도행동 있음,False,2,38,의도행동:quest_social,npc_talk,1,1,0.02631578947368421
저밀도+의도행동 있음,False,2,38,기타 추적,quest_offered,1,1,0.02631578947368421
저밀도+의도행동 있음,False,2,38,기타 추적,session_summary,1,1,0.02631578947368421
저밀도+의도행동 있음,False,2,38,기타 추적,tutorial_skip,1,1,0.02631578947368421
저밀도+의도행동 있음,False,2,38,진입·로그인·튜토리얼,tutorial_start,1,1,0.02631578947368421
저밀도+의도행동 있음,False,2,38,기타 추적,tutorial_step,1,1,0.02631578947368421
저밀도+의도행동 있음,False,2,38,기타 추적,weather_day,1,1,0.02631578947368421
고밀도+의도행동 적음,True,3,151,기타 추적,session_summary,2,53,0.3509933774834437
고밀도+의도행동 적음,True,3,151,GA4 자동·세션,page_view,3,12,0.07947019867549669
고밀도+의도행동 적음,True,3,151,GA4 자동·세션,scroll,3,12,0.07947019867549669
고밀도+의도행동 적음,True,3,151,진입·로그인·튜토리얼,login_screen,2,10,0.06622516556291391
고밀도+의도행동 적음,True,3,151,기타 추적,session_time,2,7,0.046357615894039736
고밀도+의도행동 적음,True,3,151,기타 추적,daily_bonus,2,5,0.033112582781456956
고밀도+의도행동 적음,True,3,151,기타 추적,dex_discover,2,5,0.033112582781456956
고밀도+의도행동 적음,True,3,151,기타 추적,econ_tx,2,5,0.033112582781456956
고밀도+의도행동 적음,True,3,151,진입·로그인·튜토리얼,login,2,5,0.033112582781456956
고밀도+의도행동 적음,True,3,151,기타 추적,story_chapter_start,2,5,0.033112582781456956
고밀도+의도행동 적음,True,3,151,기타 추적,weather_day,2,5,0.033112582781456956
고밀도+의도행동 적음,True,3,151,기타 추적,character_select,1,3,0.019867549668874173
고밀도+의도행동 적음,True,3,151,GA4 자동·세션,first_visit,3,3,0.019867549668874173
고밀도+의도행동 적음,True,3,151,기타 추적,guide_open,1,3,0.019867549668874173
고밀도+의도행동 적음,True,3,151,기타 추적,intro_skip,1,3,0.019867549668874173
고밀도+의도행동 적음,True,3,151,기타 추적,intro_start,1,3,0.019867549668874173
고밀도+의도행동 적음,True,3,151,기타 추적,nickname_set,1,3,0.019867549668874173
고밀도+의도행동 적음,True,3,151,GA4 자동·세션,session_start,3,3,0.019867549668874173
고밀도+의도행동 적음,True,3,151,기타 추적,tutorial_skip,1,3,0.019867549668874173
고밀도+의도행동 적음,True,3,151,기타 추적,guide_section,1,1,0.006622516556291391
고밀도+의도행동 적음,True,3,151,의도행동:advanced,leaderboard_open,1,1,0.006622516556291391
고밀도+의도행동 적음,True,3,151,토스 연결 성공,toss_connect,1,1,0.006622516556291391
고밀도+의도행동 적음,False,8,235,기타 추적,dex_discover,8,15,0.06382978723404255
고밀도+의도행동 적음,False,8,235,토스 연결 실패,toss_connect,4,14,0.059574468085106386
고밀도+의도행동 적음,False,8,235,기타 추적,mist_soothe_miss,1,11,0.04680851063829787
고밀도+의도행동 적음,False,8,235,GA4 자동·세션,page_view,8,10,0.0425531914893617
고밀도+의도행동 적음,False,8,235,GA4 자동·세션,scroll,8,10,0.0425531914893617
고밀도+의도행동 적음,False,8,235,기타 추적,character_select,8,8,0.03404255319148936
고밀도+의도행동 적음,False,8,235,기타 추적,daily_bonus,8,8,0.03404255319148936
고밀도+의도행동 적음,False,8,235,기타 추적,econ_tx,8,8,0.03404255319148936
고밀도+의도행동 적음,False,8,235,GA4 자동·세션,first_visit,8,8,0.03404255319148936
고밀도+의도행동 적음,False,8,235,기타 추적,intro_start,8,8,0.03404255319148936
고밀도+의도행동 적음,False,8,235,진입·로그인·튜토리얼,login,8,8,0.03404255319148936
고밀도+의도행동 적음,False,8,235,기타 추적,nickname_set,8,8,0.03404255319148936
고밀도+의도행동 적음,False,8,235,의도행동:quest_social,npc_talk,4,8,0.03404255319148936
고밀도+의도행동 적음,False,8,235,기타 추적,quest_offered,4,8,0.03404255319148936
고밀도+의도행동 적음,False,8,235,GA4 자동·세션,session_start,8,8,0.03404255319148936
고밀도+의도행동 적음,False,8,235,기타 추적,session_summary,8,8,0.03404255319148936
고밀도+의도행동 적음,False,8,235,기타 추적,story_chapter_start,8,8,0.03404255319148936
고밀도+의도행동 적음,False,8,235,진입·로그인·튜토리얼,login_screen,4,7,0.029787234042553193
고밀도+의도행동 적음,False,8,235,기타 추적,tutorial_step,3,7,0.029787234042553193
고밀도+의도행동 적음,False,8,235,기타 추적,intro_skip,6,6,0.02553191489361702
고밀도+의도행동 적음,False,8,235,기타 추적,churn_score,2,5,0.02127659574468085
고밀도+의도행동 적음,False,8,235,의도행동:quest_social,quest_accept,3,5,0.02127659574468085
고밀도+의도행동 적음,False,8,235,기타 추적,session_time,2,5,0.02127659574468085
고밀도+의도행동 적음,False,8,235,진입·로그인·튜토리얼,tutorial_start,5,5,0.02127659574468085
고밀도+의도행동 적음,False,8,235,기타 추적,lang_toggle,1,4,0.01702127659574468
고밀도+의도행동 적음,False,8,235,GA4 자동·세션,user_engagement,4,4,0.01702127659574468
고밀도+의도행동 적음,False,8,235,기타 추적,weather_day,4,4,0.01702127659574468
고밀도+의도행동 적음,False,8,235,토스 연결 성공,toss_connect,3,3,0.01276595744680851
고밀도+의도행동 적음,False,8,235,기타 추적,tutorial_skip,3,3,0.01276595744680851
고밀도+의도행동 적음,False,8,235,기타 추적,zone_enter,3,3,0.01276595744680851
고밀도+의도행동 적음,False,8,235,기타 추적,intro_complete,2,2,0.00851063829787234
고밀도+의도행동 적음,False,8,235,기타 추적,kitchen_open,1,2,0.00851063829787234
고밀도+의도행동 적음,False,8,235,의도행동:nature,plant_seed,2,2,0.00851063829787234
고밀도+의도행동 적음,False,8,235,의도행동:nature,chop_tree,1,1,0.00425531914893617
고밀도+의도행동 적음,False,8,235,기타 추적,enter_farm,1,1,0.00425531914893617
고밀도+의도행동 적음,False,8,235,기타 추적,exit_farm,1,1,0.00425531914893617
고밀도+의도행동 적음,False,8,235,의도행동:nature,first_chop,1,1,0.00425531914893617
고밀도+의도행동 적음,False,8,235,의도행동:nature,forage_pick,1,1,0.00425531914893617
고밀도+의도행동 적음,False,8,235,의도행동:advanced,leaderboard_open,1,1,0.00425531914893617
고밀도+의도행동 적음,False,8,235,기타 추적,mist_end,1,1,0.00425531914893617
고밀도+의도행동 적음,False,8,235,기타 추적,mist_enter,1,1,0.00425531914893617
고밀도+의도행동 적음,False,8,235,기타 추적,mist_lantern,1,1,0.00425531914893617
고밀도+의도행동 적음,False,8,235,의도행동:advanced,mist_purify_start,1,1,0.00425531914893617
고밀도+의도행동 적음,False,8,235,기타 추적,mist_wave,1,1,0.00425531914893617
고밀도+의도행동 적음,False,8,235,의도행동:nature,water_crop,1,1,0.00425531914893617
고밀도+의도행동 많음,True,7,1115,의도행동:nature,chop_tree,6,272,0.24394618834080717
고밀도+의도행동 많음,True,7,1115,의도행동:nature,mine_ore,4,92,0.08251121076233184
고밀도+의도행동 많음,True,7,1115,기타 추적,dex_discover,7,72,0.06457399103139014
고밀도+의도행동 많음,True,7,1115,기타 추적,zone_enter,7,42,0.03766816143497758
고밀도+의도행동 많음,True,7,1115,의도행동:nature,forage_pick,5,38,0.034080717488789235
고밀도+의도행동 많음,True,7,1115,기타 추적,tutorial_step,7,38,0.034080717488789235
고밀도+의도행동 많음,True,7,1115,의도행동:quest_social,npc_talk,6,37,0.033183856502242155
고밀도+의도행동 많음,True,7,1115,의도행동:nature,plant_seed,6,36,0.03228699551569507
고밀도+의도행동 많음,True,7,1115,기타 추적,econ_tx,7,32,0.028699551569506727
고밀도+의도행동 많음,True,7,1115,의도행동:nature,water_crop,3,31,0.02780269058295964
고밀도+의도행동 많음,True,7,1115,의도행동:advanced,firefly_swing,2,28,0.025112107623318385
고밀도+의도행동 많음,True,7,1115,기타 추적,firefly_catch,2,22,0.019730941704035873
고밀도+의도행동 많음,True,7,1115,기타 추적,quest_offered,6,21,0.01883408071748879
고밀도+의도행동 많음,True,7,1115,기타 추적,churn_score,2,19,0.017040358744394617
고밀도+의도행동 많음,True,7,1115,의도행동:nature,harvest_crop,4,18,0.016143497757847534
고밀도+의도행동 많음,True,7,1115,기타 추적,firefly_swing_empty,2,16,0.014349775784753363
고밀도+의도행동 많음,True,7,1115,기타 추적,mist_soothe_miss,2,16,0.014349775784753363
고밀도+의도행동 많음,True,7,1115,의도행동:quest_social,quest_accept,5,14,0.012556053811659192
고밀도+의도행동 많음,True,7,1115,GA4 자동·세션,page_view,7,13,0.011659192825112108
고밀도+의도행동 많음,True,7,1115,GA4 자동·세션,scroll,7,13,0.011659192825112108
고밀도+의도행동 많음,True,7,1115,기타 추적,color_unlock,4,11,0.009865470852017937
고밀도+의도행동 많음,True,7,1115,진입·로그인·튜토리얼,login,7,10,0.008968609865470852
고밀도+의도행동 많음,True,7,1115,기타 추적,enter_farm,2,9,0.008071748878923767
고밀도+의도행동 많음,True,7,1115,의도행동:quest_social,quest_complete,5,9,0.008071748878923767
고밀도+의도행동 많음,True,7,1115,기타 추적,exit_farm,2,8,0.007174887892376682
고밀도+의도행동 많음,True,7,1115,기타 추적,story_chapter_start,7,8,0.007174887892376682
고밀도+의도행동 많음,True,7,1115,기타 추적,character_select,7,7,0.006278026905829596
고밀도+의도행동 많음,True,7,1115,기타 추적,daily_bonus,7,7,0.006278026905829596
고밀도+의도행동 많음,True,7,1115,GA4 자동·세션,first_visit,7,7,0.006278026905829596
고밀도+의도행동 많음,True,7,1115,기타 추적,intro_start,7,7,0.006278026905829596
고밀도+의도행동 많음,True,7,1115,기타 추적,nickname_set,7,7,0.006278026905829596
고밀도+의도행동 많음,True,7,1115,GA4 자동·세션,session_start,7,7,0.006278026905829596
고밀도+의도행동 많음,True,7,1115,의도행동:craft_home,shop_sell,3,7,0.006278026905829596
고밀도+의도행동 많음,True,7,1115,진입·로그인·튜토리얼,tutorial_start,7,7,0.006278026905829596
고밀도+의도행동 많음,True,7,1115,의도행동:nature,first_chop,6,6,0.0053811659192825115
고밀도+의도행동 많음,True,7,1115,기타 추적,intro_complete,6,6,0.0053811659192825115
고밀도+의도행동 많음,True,7,1115,기타 추적,mist_lantern,1,6,0.0053811659192825115
고밀도+의도행동 많음,True,7,1115,기타 추적,session_time,2,6,0.0053811659192825115
고밀도+의도행동 많음,True,7,1115,기타 추적,weather_day,4,6,0.0053811659192825115
고밀도+의도행동 많음,True,7,1115,기타 추적,enter_mine,4,5,0.004484304932735426
