feature,importance
log_early_entry_auth_events,0.720572803068867
log_early_zone_enter_events,0.22893237541712458
log_early_ga_auto_events,0.05049482151400855
log_early_tracked_events,0.0
log_early_churn_score_events,0.0
log_early_chop_tree_events,0.0
log_early_mine_ore_events,0.0
log_early_npc_talk_events,0.0
log_early_tutorial_step_events,0.0
log_early_quest_offered_events,0.0
log_early_session_time_events,0.0
log_early_session_summary_events,0.0
log_early_craft_home_events,0.0
log_early_econ_tx_events,0.0
is_toss_observed,0.0
is_mobile,0.0
log_early_advanced_events,0.0
log_early_quest_social_events,0.0
log_early_actions,0.0
log_early_fishing_sea_events,0.0
log_early_nature_events,0.0
other_tracking_share,0.0
entry_auth_share,0.0
ga_auto_share,0.0
log_early_other_tracking_events,0.0
log_early_connect_fail_events,0.0
log_early_connect_ok_events,0.0
log_early_event_name_count,0.0
log_early_area_count,0.0
log_early_action_kinds,0.0
deliberate_share,0.0
is_south_korea,0.0
