model,family,n_features,auc,pr_auc,top30_cutoff,top30_flagged,top30_precision,top30_recall,top30_balanced_acc,auc_ci_low,auc_ci_high,pr_auc_ci_low,pr_auc_ci_high
logistic_selected,logistic,29,0.9327309236947791,0.8667540792540794,0.23325880234865076,29,0.3793103448275862,0.9166666666666666,0.8498995983935742,0.8040044402802673,1.0,0.6709821428571429,1.0
decision_tree_depth_2,rule_tree,32,0.8383534136546186,0.4326964881506807,0.2689231550749569,29,0.3103448275862069,0.75,0.7545180722891567,0.7270558253310053,0.935296777625779,0.21868793308184953,0.6996719869231443
gaussian_nb,naive_bayes,29,0.8373493975903614,0.46534674333522397,0.017446916296387976,29,0.3448275862068966,0.8333333333333334,0.8022088353413654,0.6858822097020627,0.9494117647058823,0.24143701527108766,0.7633868623957799
extra_trees_shallow,rule_tree,32,0.8232931726907631,0.49269079482895267,0.3033020173782663,29,0.3103448275862069,0.75,0.7545180722891567,0.6895893458393458,0.9367478534828971,0.2442806167251907,0.7633411963270158
bernoulli_nb_alpha_0_5,naive_bayes,28,0.7811244979919678,0.5869639812081393,0.0038804185192941798,29,0.27586206896551724,0.6666666666666666,0.7068273092369477,0.6181539553490774,0.9224806201550387,0.31745799673931113,0.8187965605345453
bernoulli_nb_alpha_1_0,naive_bayes,28,0.7791164658634538,0.5842809004000585,0.0027417584373334997,29,0.27586206896551724,0.6666666666666666,0.7068273092369477,0.6144578313253012,0.9210004949830531,0.3100422782069178,0.8168110456676884
decision_tree_depth_1,rule_tree,32,0.7590361445783133,0.3384320469798844,0.35821713225116225,29,0.27586206896551724,0.6666666666666666,0.7068273092369477,0.5581709398956386,0.9148450328407225,0.1680528999724046,0.6391677532993326
complement_nb_alpha_0_5,naive_bayes,25,0.5401606425702811,0.38834925932115544,0.00020561326267855694,29,0.20689655172413793,0.5,0.6114457831325302,0.27777326839826844,0.8035575184619304,0.15183652093426125,0.6915909848008893
complement_nb_alpha_1_0,naive_bayes,25,0.5401606425702811,0.38834925932115544,0.0002076886355405078,29,0.20689655172413793,0.5,0.6114457831325302,0.27777326839826844,0.8035575184619304,0.15183652093426125,0.6915909848008893
complement_nb_alpha_0_1,naive_bayes,25,0.53714859437751,0.380677902899799,0.00020397293939599311,29,0.20689655172413793,0.5,0.6114457831325302,0.2739207159513456,0.7991804464914933,0.14717064104573443,0.6835545856434015
