device_label,split_segment,channel_segment,early_tracked_events,early_actions,deliberate_share,later_active,logistic_selected,complement_nb_alpha_0_1,complement_nb_alpha_0_5,complement_nb_alpha_1_0,bernoulli_nb_alpha_0_5,bernoulli_nb_alpha_1_0,gaussian_nb,decision_tree_depth_1,decision_tree_depth_2,extra_trees_shallow
D001,고밀도+의도행동 많음,토스 관측,184,111,0.6032608695652174,True,0.9725880418994833,1.0,1.0,1.0,0.9999985317819546,0.9999965682397284,1.0,0.735844797215618,0.8143066469733066,0.6864623789433497
D002,고밀도+의도행동 많음,메인·웹만,41,7,0.1707317073170731,True,0.8588134485495944,8.538754343763664e-10,6.496534597439556e-10,4.942151524364499e-10,0.9998255726945685,0.9997811492669874,0.6999999999997146,0.5962463558774302,0.6396363293677727,0.46507774216179654
D003,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.06049079678473232,0.00029335014225492025,0.00029530607188960474,0.0002977813374088767,1.331347919263989e-07,7.21833650098387e-07,1.9961671487148178e-15,0.09766939430251677,0.0,0.11130385393264632
D004,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.056154476276821214,0.00019818289668376503,0.00020017939686725099,0.00020269902067852536,1.6701088896683798e-07,9.007830584027706e-07,1.2774932878798925e-14,0.08641169121201318,0.0015094339622641509,0.11343147235396236
D005,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0.03187224033332599,0.001231303732746882,0.001243447914369771,0.0012587487119322654,2.697881114656658e-07,8.304946509104928e-07,1.360428012092394e-14,0.09249173942327384,0.0,0.11459052096388074
D006,저밀도+의도행동 없음,토스 관측,7,0,0.0,False,0.12303153456210306,2.3285967245189407e-06,2.595358595064846e-06,2.9071197950285797e-06,5.449923519195828e-06,1.0066194250143334e-05,6.037351315347156e-11,0.09699149512697787,0.0577922077922078,0.16841001484433615
D007,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.10207183624702078,2.8578085294648694e-05,2.88903851380784e-05,2.9285703903846738e-05,4.872704392180763e-07,1.3885839989523364e-06,1.1540522943486903e-13,0.09954057098856586,0.016930309383139573,0.12638977226645998
D008,고밀도+의도행동 많음,토스 관측,230,100,0.4347826086956521,True,0.9015541273996086,0.9800164999949992,0.9999999997885061,0.9999999999999863,0.9999982669205132,0.9999973334573802,0.8,0.43063725294237415,0.5304545310416896,0.6584351668519155
D009,고밀도+의도행동 많음,토스 관측,165,88,0.5333333333333333,True,0.9567096957245355,1.0,1.0,1.0,0.9999993519129795,0.9999991580185993,0.22,0.7670931960051015,0.862913194941882,0.7201010066249457
D010,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.16629818266863544,0.0001013393432166498,0.00010191230711761953,0.00010263205030130971,5.007190719257702e-06,7.600628097048189e-06,3.0012515833802028e-12,0.08952668111850316,0.02708415553698573,0.16900363957885797
D011,고밀도+의도행동 많음,토스 관측,310,219,0.7064516129032258,True,0.9916517801531503,1.0,1.0,1.0,0.9999993626939805,0.9999987376725463,1.0,0.2807947551187585,0.537162349793148,0.6776242160975599
D012,고밀도+의도행동 적음,메인·웹만,29,3,0.1034482758620689,False,0.15393850033622813,1.0484215691512812e-08,9.748855410029688e-09,9.12401967556728e-09,0.9942525681915854,0.99234151464591,0.43183099793100077,0.27834024112923833,0.26335050532446574,0.3865051780152713
D013,고밀도+의도행동 많음,토스 관측,143,76,0.5314685314685315,True,0.9806317195815314,1.0,1.0,1.0,0.9999999586034104,0.9999999007235151,1.0,0.34338357702601613,0.578813353904767,0.6598212548345208
D014,저밀도+의도행동 없음,토스 관측,13,0,0.0,False,0.3019385006578711,8.214384898428369e-08,8.613981228578084e-08,9.031903237099364e-08,0.0008298169871621702,0.000593561738289458,1.1320261563098165e-05,0.08267922486270043,0.015367965367965369,0.24158894680310009
D015,저밀도+의도행동 없음,토스 관측,6,0,0.0,False,0.08284323957965016,5.106167677404251e-06,6.74415398560267e-06,8.675821952769442e-06,4.562779938813849e-06,9.07157541783006e-06,1.167188735698825e-13,0.09099751605852965,0.001379310344827586,0.16125765469778025
D016,고밀도+의도행동 많음,토스 관측,87,47,0.5402298850574713,False,0.21303115938645414,1.0,1.0,1.0,0.999988508982576,0.9999616272693918,1.0,0.5543913997334304,0.7089561711139659,0.6259717213164744
D017,저밀도+의도행동 없음,토스 관측,19,0,0.0,False,0.24856676887000628,1.2547810727260768e-09,1.3578692529982584e-09,1.4746696018539875e-09,0.003912039573324142,0.0027628373631140247,0.019689380810705683,0.3644641189600542,0.28643105639985444,0.30207689272181615
D018,고밀도+의도행동 적음,토스 관측,20,0,0.0,True,0.29587867316197136,1.032540309657582e-08,1.159523955308919e-08,1.3056539082527207e-08,4.318376304779876e-05,4.104226095233336e-05,1.1163466450153638e-05,0.3886535659811432,0.260497838509742,0.2233128138152721
D019,저밀도+의도행동 없음,토스 관측,19,0,0.0,True,0.6383676236295873,1.0148735081431713e-10,1.0183653481899934e-10,1.0242610920883466e-10,0.0001381198646117938,0.00011846796077782556,0.030392950463505364,0.05821592543914294,0.0638136003781165,0.26099783708311114
D020,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.22428113611444847,1.7554464507558924e-05,1.7795225735751877e-05,1.8099047364171847e-05,0.00024559304940703836,0.00019301307648200122,3.916489232497417e-11,0.08856605608182092,0.09548765139229534,0.2373103787674219
D021,저밀도+의도행동 없음,토스 관측,11,0,0.0,False,0.12876778851522958,6.524709860934589e-07,6.510147278279191e-07,6.492246403781769e-07,0.00018326714258417188,0.00013489190274490308,0.0001629958110127204,0.09586332476199341,0.019145457739457954,0.22727000641921777
D022,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.20906402694744228,5.714177570788886e-05,5.699918417702736e-05,5.6824676815367914e-05,0.0004768037946880798,0.0003463588328355014,3.757741496925123e-09,0.06995932094939362,0.06377158615602552,0.22922154670878847
D023,저밀도+의도행동 없음,메인·웹만,10,0,0.0,False,0.6646823166662899,2.44498878777178e-05,2.4255338990077495e-05,2.402157525614263e-05,0.000546267220121273,0.00040157996724183784,0.002089799465800851,0.6593566961042928,0.7301760275107063,0.3365822416186309
