device_label,split_segment,channel_segment,early_tracked_events,early_actions,deliberate_share,later_active,best_grid_score,nested_top3_score
D001,고밀도+의도행동 많음,토스 관측,184,111,0.6032608695652174,True,0.9732713211305266,0.9552669629252086
D002,고밀도+의도행동 많음,메인·웹만,41,7,0.1707317073170731,True,0.8729890800287197,0.8526738439703273
D003,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.0584900158065709,0.09070239859374912
D004,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.058323606323421026,0.08966419865903462
D005,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0.03184011261446395,0.05667312636389234
D006,저밀도+의도행동 없음,토스 관측,7,0,0.0,False,0.11485042995068001,0.19189692904682168
D007,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.09975104121824745,0.14860414444573372
D008,고밀도+의도행동 많음,토스 관측,230,100,0.4347826086956521,True,0.9289265644445136,0.9128101778258404
D009,고밀도+의도행동 많음,토스 관측,165,88,0.5333333333333333,True,0.9464096054520752,0.9570786047391489
D010,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.1637079977389084,0.1965400655153848
D011,고밀도+의도행동 많음,토스 관측,310,219,0.7064516129032258,True,0.991784217526078,0.9827026297673868
D012,고밀도+의도행동 적음,메인·웹만,29,3,0.1034482758620689,False,0.15640484802662546,0.2376769708458218
D013,고밀도+의도행동 많음,토스 관측,143,76,0.5314685314685315,True,0.9810755990691715,0.9712080877991894
D014,저밀도+의도행동 없음,토스 관측,13,0,0.0,False,0.28911956509129466,0.33435997021988023
D015,저밀도+의도행동 없음,토스 관측,6,0,0.0,False,0.07248838289793698,0.14487340844902996
D016,고밀도+의도행동 많음,토스 관측,87,47,0.5402298850574713,False,0.2322045675905525,0.32375712678550334
D017,저밀도+의도행동 없음,토스 관측,19,0,0.0,False,0.24148719642075236,0.296266020899093
D018,고밀도+의도행동 적음,토스 관측,20,0,0.0,True,0.30099167165340013,0.361977718131519
D019,저밀도+의도행동 없음,토스 관측,19,0,0.0,True,0.6508018472766968,0.6575190858894415
D020,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.2325868796434924,0.26368353428155433
D021,저밀도+의도행동 없음,토스 관측,11,0,0.0,False,0.13720755896986392,0.19051001610065657
D022,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.2350395708687412,0.2518764485726923
D023,저밀도+의도행동 없음,메인·웹만,10,0,0.0,False,0.6480353053040523,0.5580009129976178
D024,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.16061338640173778,0.1969476743012898
D025,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.1592789141376058,0.19951441617308335
D026,저밀도+의도행동 없음,메인·웹만,7,0,0.0,True,0.11431632066368837,0.1251424714904745
D027,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.06534098069636321,0.09913500027014951
D028,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.2443916130041104,0.2852795630957973
D029,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.05637199015510584,0.09170868787402328
D030,저밀도+의도행동 없음,메인·웹만,19,0,0.0,False,0.188075572826677,0.2556881408750259
D031,저밀도+의도행동 없음,토스 관측,14,0,0.0,False,0.20434067411390935,0.21539636765826708
D032,고밀도+의도행동 많음,토스 관측,33,7,0.2121212121212121,False,0.07803313841826055,0.11996800558951912
D033,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.05412689454264414,0.09519746072710104
D034,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.060351377783378866,0.10830930488839956
D035,고밀도+의도행동 많음,토스 관측,50,9,0.18,False,0.22484985865516066,0.29043171046699745
D036,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.06065325515642253,0.1057227716297473
D037,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0.03068404535838564,0.06200541544219228
D038,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0.029428173979260897,0.0515945371267713
D039,저밀도+의도행동 있음,토스 관측,19,1,0.0526315789473684,False,0.2203135635806291,0.29749635113244816
D040,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.057067321230179484,0.09830330500535568
D041,고밀도+의도행동 적음,메인·웹만,103,1,0.0097087378640776,True,0.8401973429459287,0.8263282639832985
D042,저밀도+의도행동 없음,메인·웹만,18,0,0.0,False,0.14517103870778125,0.21708588528435785
D043,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.0980267563332847,0.1292936277413798
D044,고밀도+의도행동 많음,토스 관측,42,14,0.3333333333333333,True,0.741955221222542,0.7707377812254174
D045,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.14585289812342545,0.20770498742159008
D046,고밀도+의도행동 많음,토스 관측,111,55,0.4954954954954955,False,0.27265602055393023,0.35965920808071666
D047,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.059319367802085174,0.09281094807920355
D048,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.23169397194108612,0.2557984875400081
D049,고밀도+의도행동 적음,토스 관측,24,0,0.0,False,0.07494961950759789,0.1630231968526616
D050,고밀도+의도행동 많음,토스 관측,50,21,0.42,False,0.7724733139020211,0.7577421245206122
D051,고밀도+의도행동 적음,토스 관측,21,0,0.0,False,0.11192079568171512,0.1542848288202367
D052,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.19984900362139849,0.2765493813155294
D053,저밀도+의도행동 없음,메인·웹만,16,0,0.0,False,0.12045983406701041,0.17309765491939463
D054,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0.03026025348059569,0.06155959559565556
