outer_fold,feature_set,C,penalty,class_weight_name,inner_auc,inner_pr_auc
1,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9265232974910393,0.845959595959596
2,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9211469534050178,0.7867539930626035
3,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9695340501792115,0.8670033670033672
4,refined_behavior_plus_named_events,0.1,l2,pos_4,0.8977072310405644,0.7065854315854316
5,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9874551971326164,0.9513888888888891
6,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9301075268817204,0.7635285738226913
7,refined_behavior_plus_named_events,0.2,l2,pos_4,0.8763440860215054,0.7568757975734721
8,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9259259259259259,0.7509993622047952
9,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9193548387096775,0.8172134038800707
10,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9964157706093191,0.9797979797979799
11,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9121863799283154,0.8111489040060469
12,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9100529100529101,0.839920948616601
13,refined_behavior_plus_named_events,0.1,l2,pos_4,0.8996415770609318,0.8053105590062113
14,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9462365591397849,0.7317460317460318
15,refined_behavior_plus_named_events,0.1,l2,pos_4,0.967741935483871,0.8944444444444446
16,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9153439153439153,0.8016073432740101
17,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9516129032258064,0.861863711001642
18,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9802867383512545,0.8927689594356263
19,refined_behavior_plus_named_events,0.05,l2,pos_4,0.8960573476702508,0.743256561884013
20,refined_behavior_plus_named_events,0.2,l2,pos_4,0.8641975308641975,0.7890958709065021
21,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9874551971326165,0.94320987654321
22,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9175627240143369,0.740062228220123
23,refined_behavior_plus_named_events,0.2,l2,pos_4,0.8745519713261649,0.7368813925417699
24,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9047619047619048,0.8334268612046389
25,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9193548387096774,0.7867975734355046
26,refined_behavior_plus_named_events,0.2,l2,pos_4,0.8727598566308243,0.7955816311748516
27,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9086021505376345,0.8202380952380954
28,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9894179894179894,0.9278138528138529
29,refined_behavior_plus_named_events,0.2,l2,pos_4,0.985663082437276,0.9477124183006538
30,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9139784946236559,0.8005662303907919
31,refined_behavior_plus_named_events,0.05,l2,pos_4,0.8709677419354839,0.6620155806430317
32,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9065255731922399,0.7943969610636277
33,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9336917562724014,0.8516339869281047
34,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9569892473118279,0.8515079365079365
35,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9874551971326165,0.9513888888888891
36,refined_behavior_plus_named_events,0.2,l2,pos_4,0.8800705467372134,0.7498259537733223
37,refined_behavior_plus_named_events,0.2,l2,pos_4,0.985663082437276,0.9477124183006536
38,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9193548387096775,0.8420661464139727
39,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9444444444444444,0.7572246996160039
40,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9153439153439153,0.8435563114134543
41,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9032258064516129,0.6894809438927085
42,refined_behavior_plus_named_events,0.1,l2,pos_4,0.8799283154121864,0.7605372405372406
43,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9534050179211468,0.876955034213099
44,refined_behavior_plus_named_events,0.2,l2,pos_4,0.980599647266314,0.9388888888888889
45,refined_behavior_plus_named_events,0.1,l2,pos_4,0.8566308243727598,0.7286556036556036
46,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9301075268817205,0.7726088726088726
47,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9910394265232975,0.9534662867996202
48,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9135802469135803,0.8043771043771044
49,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9175627240143369,0.8321428571428573
50,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9050179211469535,0.7644735438853085
51,refined_behavior_plus_named_events,0.1,l2,pos_4,0.8978494623655914,0.7531185438162182
52,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9947089947089947,0.9626543209876544
53,refined_behavior_plus_named_events,0.2,l2,pos_4,0.989247311827957,0.9435897435897438
54,refined_behavior_plus_named_events,0.1,l2,pos_4,0.8978494623655914,0.8163722478238609
55,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9229390681003584,0.8419047619047622
56,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9559082892416226,0.8908439231019878
57,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9426523297491038,0.8506613756613757
58,refined_behavior_plus_named_events,0.05,l2,pos_4,0.913978494623656,0.7836580178304053
59,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9336917562724014,0.843954248366013
60,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9788359788359788,0.9035204991087344
61,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9175627240143369,0.8340971085651938
62,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9551971326164874,0.8724457215836527
63,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9767025089605734,0.9054093567251462
64,refined_behavior_plus_named_events,0.05,l2,pos_4,0.8677248677248678,0.7148350608481329
65,refined_behavior_plus_named_events,0.2,l2,pos_4,0.985663082437276,0.9477124183006536
66,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9157706093189965,0.6795875420875421
67,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9086021505376344,0.7356930651048299
68,refined_behavior_plus_named_events,0.1,l2,pos_4,0.8994708994708994,0.8152505446623093
69,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9265232974910395,0.8293989960656627
70,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9068100358422939,0.8156328320802007
71,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9731182795698924,0.8919753086419755
