feature,coef,abs_coef
num__log_early_ga_auto_events,0.8461766697489996,0.8461766697489996
num__log_early_advanced_events,0.47426898692443564,0.47426898692443564
num__log_early_entry_auth_events,0.44589545264088526,0.44589545264088526
num__log_early_fishing_sea_events,0.40754499138843175,0.40754499138843175
num__entry_auth_share,0.3830280492311055,0.3830280492311055
num__log_early_connect_fail_events,-0.30387218774650404,0.30387218774650404
num__log_early_tracked_events,0.2648425217740556,0.2648425217740556
num__log_early_nature_events,0.2646328289065002,0.2646328289065002
num__log_early_connect_ok_events,0.23756867723967742,0.23756867723967742
num__log_early_area_count,-0.2147266901720456,0.2147266901720456
num__deliberate_share,0.19614610909947353,0.19614610909947353
num__log_early_other_tracking_events,0.19077130359072153,0.19077130359072153
num__log_early_event_name_count,-0.1901363267778215,0.1901363267778215
num__other_tracking_share,-0.16896625871308857,0.16896625871308857
num__log_early_action_kinds,-0.12449762759807781,0.12449762759807781
num__log_early_quest_social_events,-0.09650355232448853,0.09650355232448853
num__log_early_actions,0.0764876689377278,0.0764876689377278
num__log_early_craft_home_events,-0.025800009061671902,0.025800009061671902
num__ga_auto_share,0.019219384202838193,0.019219384202838193
