device_label,split_segment,channel_segment,early_tracked_events,early_actions,deliberate_share,later_active,channel_raw_rank,early_actions_raw_rank,early_tracked_raw_rank,deliberate_share_raw_rank,refined_behavior,refined_behavior_plus_named_events,refined_plus_profile,selected_score,selected_rank
D001,고밀도+의도행동 많음,토스 관측,184,111,0.6032608695652174,True,1,111,184,0.6032608695652174,0.8252001454490978,0.9712391818978148,0.8265082427516544,0.8252001454490978,8
D002,고밀도+의도행동 많음,메인·웹만,41,7,0.1707317073170731,True,0,7,41,0.1707317073170731,0.9108301026158796,0.8943983568172384,0.9294453424556408,0.9108301026158796,6
D003,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0,0,4,0.0,0.08400303866392315,0.08186017884530356,0.06964111510480415,0.08400303866392315,79
D004,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0,0,4,0.0,0.0852729119603481,0.08335058029726873,0.07194523741746753,0.0852729119603481,77
D005,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0,0,3,0.0,0.0392486150395546,0.04490319461197367,0.019444214513444455,0.0392486150395546,94
D006,저밀도+의도행동 없음,토스 관측,7,0,0.0,False,1,0,7,0.0,0.229996867346433,0.1648056082542237,0.13081551225756294,0.229996867346433,57
D007,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0,0,5,0.0,0.13622977279787502,0.1177359267698843,0.07167462005185013,0.13622977279787502,74
D008,고밀도+의도행동 많음,토스 관측,230,100,0.4347826086956521,True,1,100,230,0.4347826086956521,0.9862388846986933,0.9361601926468655,0.9832326049660196,0.9862388846986933,1
D009,고밀도+의도행동 많음,토스 관측,165,88,0.5333333333333333,True,1,88,165,0.5333333333333333,0.6371029572843735,0.9591064237027882,0.6310874341543093,0.6371029572843735,14
D010,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0,0,5,0.0,0.26533916146745457,0.22831482353757251,0.2716344836974412,0.26533916146745457,38
D011,고밀도+의도행동 많음,토스 관측,310,219,0.7064516129032258,True,1,219,310,0.7064516129032258,0.9304956518626608,0.9898124334218236,0.9270741901042578,0.9304956518626608,3
D012,고밀도+의도행동 적음,메인·웹만,29,3,0.1034482758620689,False,0,3,29,0.1034482758620689,0.12909090887310382,0.2158058349157546,0.2063727672060913,0.12909090887310382,75
D013,고밀도+의도행동 많음,토스 관측,143,76,0.5314685314685315,True,1,76,143,0.5314685314685315,0.9095244734307086,0.9826137487318288,0.9183154435215042,0.9095244734307086,7
D014,저밀도+의도행동 없음,토스 관측,13,0,0.0,False,1,0,13,0.0,0.3908559096985061,0.37710414506386286,0.3259132712326408,0.3908559096985061,25
D015,저밀도+의도행동 없음,토스 관측,6,0,0.0,False,1,0,6,0.0,0.15382817821583916,0.12062459290520142,0.08441696449273085,0.15382817821583916,70
D016,고밀도+의도행동 많음,토스 관측,87,47,0.5402298850574713,False,1,47,87,0.5402298850574713,0.39558338339972865,0.2918007349387381,0.35227818986962833,0.39558338339972865,24
D017,저밀도+의도행동 없음,토스 관측,19,0,0.0,False,1,0,19,0.0,0.3344976722808397,0.3188426465949969,0.2852102519587138,0.3344976722808397,32
D018,고밀도+의도행동 적음,토스 관측,20,0,0.0,True,1,0,20,0.0,0.468563779530499,0.3457435128803642,0.3265116374724897,0.468563779530499,22
D019,저밀도+의도행동 없음,토스 관측,19,0,0.0,True,1,0,19,0.0,0.5630256216563453,0.6809663422460046,0.5082180119053765,0.5630256216563453,18
D020,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0,0,6,0.0,0.21887834787817512,0.29020014574864883,0.23674617018700247,0.21887834787817512,65
D021,저밀도+의도행동 없음,토스 관측,11,0,0.0,False,1,0,11,0.0,0.1717776364066941,0.18631229891311482,0.10608897368821238,0.1717776364066941,67
D022,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0,0,6,0.0,0.2257288475497956,0.30760330968026167,0.2479540162627377,0.2257288475497956,60
D023,저밀도+의도행동 없음,메인·웹만,10,0,0.0,False,0,0,10,0.0,0.6176468251125611,0.701882968457729,0.6323627482006106,0.6176468251125611,17
D024,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0,0,5,0.0,0.2382433879507814,0.2080464700193983,0.20130853350303776,0.2382433879507814,49
D025,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0,0,5,0.0,0.23487162023442032,0.20350565060537126,0.20090251127810455,0.23487162023442032,53
D026,저밀도+의도행동 없음,메인·웹만,7,0,0.0,True,0,0,7,0.0,0.13793272820510682,0.16628330781469675,0.1224000178578603,0.13793272820510682,73
D027,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0,0,4,0.0,0.08278330226700194,0.08016156162567455,0.0419908042404502,0.08278330226700194,80
D028,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0,0,6,0.0,0.22780492558460266,0.3127984410427484,0.2516210983296227,0.22780492558460266,59
D029,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0,0,4,0.0,0.08415772497773226,0.0834129046807152,0.03676328672026397,0.08415772497773226,78
D030,저밀도+의도행동 없음,메인·웹만,19,0,0.0,False,0,0,19,0.0,0.14930379064670798,0.2743595371710856,0.22559041138539748,0.14930379064670798,72
D031,저밀도+의도행동 없음,토스 관측,14,0,0.0,False,1,0,14,0.0,0.235576571814651,0.25116773929049757,0.19432401971053775,0.235576571814651,52
D032,고밀도+의도행동 많음,토스 관측,33,7,0.2121212121212121,False,1,7,33,0.2121212121212121,0.26092035815033854,0.11100386240696469,0.19480389758072966,0.26092035815033854,39
D033,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0,0,4,0.0,0.08265014131984555,0.0797685317470649,0.06776506888715564,0.08265014131984555,81
D034,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0,0,4,0.0,0.07862484626166773,0.07732680692586345,0.04036263192262712,0.07862484626166773,87
D035,고밀도+의도행동 많음,토스 관측,50,9,0.18,False,1,9,50,0.18,0.43670247089070385,0.29405691118809296,0.3451136033879834,0.43670247089070385,23
D036,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0,0,4,0.0,0.08074293115793418,0.07984790504903472,0.04157427176873922,0.08074293115793418,85
D037,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0,0,3,0.0,0.03790339872006993,0.04502947088402353,0.031555682041921634,0.03790339872006993,95
D038,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0,0,3,0.0,0.039372370286546186,0.0464015265024046,0.033359410558101266,0.039372370286546186,92
D039,저밀도+의도행동 있음,토스 관측,19,1,0.0526315789473684,False,1,1,19,0.0526315789473684,0.3218044820445663,0.2916568563000348,0.27316691997554055,0.3218044820445663,35
D040,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0,0,4,0.0,0.08121066822543169,0.07929690829805916,0.04152424318299199,0.08121066822543169,82
D041,고밀도+의도행동 적음,메인·웹만,103,1,0.0097087378640776,True,0,1,103,0.0097087378640776,0.9261269268563161,0.8442058152095566,0.9486862164571755,0.9261269268563161,5
D042,저밀도+의도행동 없음,메인·웹만,18,0,0.0,False,0,0,18,0.0,0.23349981655784213,0.2141047138699328,0.2648972618370149,0.23349981655784213,54
D043,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0,0,5,0.0,0.07611479919035384,0.12304124686842044,0.05846232327589482,0.07611479919035384,89
D044,고밀도+의도행동 많음,토스 관측,42,14,0.3333333333333333,True,1,14,42,0.3333333333333333,0.9277196076581395,0.797735166253738,0.9127946602228936,0.9277196076581395,4
