device_label,first_day,channel_segment,device,country_group,acquisition_source,early_tracked_events,early_actions,deliberate_share,early_action_kinds,early_area_count,early_event_name_count,early_ga_auto_events,early_entry_auth_events,early_connect_ok_events,early_connect_fail_events,early_connect_other_events,early_other_tracking_events,ga_auto_share,entry_auth_share,other_tracking_share,early_nature_events,early_fishing_sea_events,early_quest_social_events,early_craft_home_events,early_advanced_events,early_chop_tree_events,early_mine_ore_events,early_npc_talk_events,early_tutorial_step_events,early_quest_offered_events,early_churn_score_events,early_session_summary_events,early_session_time_events,early_econ_tx_events,early_zone_enter_events,later_actions,later_action_kinds,later_area_count,later_nature_events,later_fishing_sea_events,later_quest_social_events,later_craft_home_events,later_advanced_events,later_active,split_segment,feature_boundary_violations,label_boundary_violations
D001,2026-09-04,토스 관측,mobile,South Korea,(direct),184,111,0.6032608695652174,10,3,36,6,3,1,0,0,63,0.03260869565217391,0.016304347826086956,0.3423913043478261,95,0,15,0,1,70,2,9,1,5,0,2,0,4,20,756,20,5,579,65,68,37,7,True,고밀도+의도행동 많음,0,0
D002,2026-09-08,메인·웹만,desktop,South Korea,(direct),41,7,0.17073170731707318,3,3,25,8,4,0,0,0,22,0.1951219512195122,0.0975609756097561,0.5365853658536586,2,0,1,0,4,0,0,1,2,1,3,1,2,1,2,38,6,2,27,0,11,0,0,True,고밀도+의도행동 많음,0,0
D003,2026-09-11,메인·웹만,desktop,United States,(direct),4,0,0.0,0,0,4,4,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D004,2026-09-10,메인·웹만,desktop,United States,(direct),4,0,0.0,0,0,4,4,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D005,2026-09-10,메인·웹만,mobile,South Korea,(direct),3,0,0.0,0,0,3,3,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D006,2026-09-11,토스 관측,mobile,South Korea,(direct),7,0,0.0,0,0,7,5,1,0,1,0,0,0.7142857142857143,0.14285714285714285,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D007,2026-09-04,메인·웹만,mobile,South Korea,(direct),5,0,0.0,0,0,5,5,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D008,2026-09-09,토스 관측,mobile,South Korea,(direct),230,100,0.43478260869565216,16,5,59,4,2,0,0,0,124,0.017391304347826087,0.008695652173913044,0.5391304347826087,62,4,15,5,14,39,0,8,1,4,16,0,0,12,6,105,21,5,43,33,16,7,6,True,고밀도+의도행동 많음,0,0
D009,2026-09-05,토스 관측,mobile,South Korea,(direct),165,88,0.5333333333333333,13,4,40,8,5,0,3,0,61,0.048484848484848485,0.030303030303030304,0.3696969696969697,75,0,8,4,1,7,35,6,12,5,0,0,4,4,2,755,27,5,457,78,108,56,56,True,고밀도+의도행동 많음,0,0
D010,2026-09-11,메인·웹만,desktop,South Korea,(direct),5,0,0.0,0,0,5,4,1,0,0,0,0,0.8,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D011,2026-09-04,토스 관측,mobile,South Korea,(direct),310,219,0.7064516129032258,12,4,42,4,2,1,0,0,84,0.012903225806451613,0.0064516129032258064,0.2709677419354839,180,0,17,1,21,138,23,11,5,5,0,0,0,6,8,326,14,5,95,160,46,24,1,True,고밀도+의도행동 많음,0,0
D012,2026-09-10,메인·웹만,desktop,South Korea,(direct),29,3,0.10344827586206896,1,1,21,4,1,0,0,0,21,0.13793103448275862,0.034482758620689655,0.7241379310344828,0,0,3,0,0,0,0,3,0,3,4,1,1,1,1,0,0,0,0,0,0,0,0,False,고밀도+의도행동 적음,0,0
D013,2026-09-05,토스 관측,mobile,South Korea,(direct),143,76,0.5314685314685315,16,5,44,4,2,1,0,0,60,0.027972027972027972,0.013986013986013986,0.4195804195804196,66,2,4,2,2,9,32,2,14,1,0,0,0,4,3,182,14,4,131,6,40,5,0,True,고밀도+의도행동 많음,0,0
D014,2026-09-04,토스 관측,mobile,South Korea,(direct),13,0,0.0,0,0,13,5,1,1,0,0,6,0.38461538461538464,0.07692307692307693,0.46153846153846156,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D015,2026-09-11,토스 관측,mobile,South Korea,(direct),6,0,0.0,0,0,6,4,1,0,1,0,0,0.6666666666666666,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D016,2026-09-06,토스 관측,mobile,South Korea,(direct),87,47,0.5402298850574713,10,3,31,4,2,0,0,0,34,0.04597701149425287,0.022988505747126436,0.39080459770114945,41,0,4,2,0,3,1,2,11,1,0,0,0,4,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 많음,0,0
D017,2026-09-04,토스 관측,mobile,South Korea,(direct),19,0,0.0,0,0,18,4,2,1,0,0,12,0.21052631578947367,0.10526315789473684,0.631578947368421,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D018,2026-09-04,토스 관측,mobile,South Korea,(direct),20,0,0.0,0,0,12,6,2,1,0,0,11,0.3,0.1,0.55,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,14,6,2,0,13,0,1,0,True,고밀도+의도행동 적음,0,0
D019,2026-09-04,토스 관측,desktop,South Korea,(direct),19,0,0.0,0,0,11,10,1,0,0,0,8,0.5263157894736842,0.05263157894736842,0.42105263157894735,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,1,0,0,0,0,1,True,저밀도+의도행동 없음,0,0
D020,2026-09-09,메인·웹만,desktop,South Korea,(direct),6,0,0.0,0,0,6,4,1,0,0,0,1,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D021,2026-09-10,토스 관측,mobile,South Korea,(direct),11,0,0.0,0,0,11,4,1,0,0,0,6,0.36363636363636365,0.09090909090909091,0.5454545454545454,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D022,2026-09-08,메인·웹만,desktop,South Korea,(direct),6,0,0.0,0,0,6,4,1,0,0,0,1,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D023,2026-09-10,메인·웹만,desktop,South Korea,(direct),10,0,0.0,0,0,6,6,2,0,0,0,2,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D024,2026-09-06,메인·웹만,desktop,United States,(direct),5,0,0.0,0,0,5,4,1,0,0,0,0,0.8,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D025,2026-09-09,메인·웹만,desktop,United States,(direct),5,0,0.0,0,0,5,4,1,0,0,0,0,0.8,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D026,2026-09-05,메인·웹만,desktop,South Korea,(direct),7,0,0.0,0,0,6,4,2,0,0,0,1,0.5714285714285714,0.2857142857142857,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,1,0,0,6,0,0,True,저밀도+의도행동 없음,0,0
D027,2026-09-04,메인·웹만,mobile,South Korea,(direct),4,0,0.0,0,0,4,4,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D028,2026-09-07,메인·웹만,desktop,South Korea,(direct),6,0,0.0,0,0,6,4,1,0,0,0,1,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D029,2026-09-04,메인·웹만,mobile,United States,(direct),4,0,0.0,0,0,4,4,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D030,2026-09-04,메인·웹만,desktop,South Korea,(direct),19,0,0.0,0,0,19,4,1,0,0,0,14,0.21052631578947367,0.05263157894736842,0.7368421052631579,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D031,2026-09-04,토스 관측,mobile,South Korea,(direct),14,0,0.0,0,0,14,4,1,1,0,0,8,0.2857142857142857,0.07142857142857142,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D032,2026-09-10,토스 관측,mobile,South Korea,(direct),33,7,0.21212121212121213,3,2,21,5,1,0,0,0,20,0.15151515151515152,0.030303030303030304,0.6060606060606061,2,0,5,0,0,0,0,4,0,3,6,1,0,1,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 많음,0,0
D033,2026-09-06,메인·웹만,desktop,United States,(direct),4,0,0.0,0,0,4,4,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D034,2026-09-04,메인·웹만,mobile,South Korea,(direct),4,0,0.0,0,0,4,4,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D035,2026-09-05,토스 관측,mobile,South Korea,(direct),50,9,0.18,4,3,27,5,1,0,0,0,35,0.1,0.02,0.7,7,0,1,0,1,6,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 많음,0,0
D036,2026-09-04,메인·웹만,mobile,South Korea,(direct),4,0,0.0,0,0,4,4,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D037,2026-09-08,메인·웹만,desktop,Other,(direct),3,0,0.0,0,0,3,3,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D038,2026-09-11,메인·웹만,desktop,United States,(direct),3,0,0.0,0,0,3,3,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D039,2026-09-04,토스 관측,mobile,South Korea,(direct),19,1,0.05263157894736842,1,1,19,4,1,1,0,0,12,0.21052631578947367,0.05263157894736842,0.631578947368421,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 있음,0,0
D040,2026-09-10,메인·웹만,mobile,South Korea,(direct),4,0,0.0,0,0,4,4,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
